Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP672.12605_R.bin.1	97.33	8.23	0.0	True	5082215	0	278	278	27615	27615	18281	18281	107766	107766	45.0	2.66	88.48	4820	No	No	No	70	21
STP672.12605_R.bin.100	97.05	0.0	0.0	True	2438474	0	74	74	58702	58702	32952	32952	133584	133584	53.1	1.99	79.2	2181	No	No	Yes	48	22
STP672.12605_R.bin.101	84.14	0.63	0.0	True	2884124	0	41	41	112605	112605	70344	70344	300292	300292	52.1	1.77	89.43	2582	No	No	No	50	18
STP672.12605_R.bin.102	97.82	1.49	71.43	True	4474849	0	154	154	52695	52695	29057	29057	269028	269028	48.3	2.57	88.72	3512	Yes	No	No	57	21
STP672.12605_R.bin.104	92.48	6.72	25.0	True	3057778	0	304	304	15157	15157	10058	10058	91337	91337	63.6	2.37	83.46	2900	No	Yes	Yes	30	16
STP672.12605_R.bin.11	95.23	3.59	31.25	True	3015392	0	38	38	107044	107044	79352	79352	312740	312740	47.3	1.35	91.54	2773	No	No	No	41	18
STP672.12605_R.bin.12	95.13	1.01	0.0	True	2850860	0	212	212	20376	20376	13447	13447	61796	61796	38.3	2.02	87.79	2560	Yes	No	No	40	18
STP672.12605_R.bin.15	80.49	2.99	5.88	True	2345309	0	580	580	4760	4760	4043	4043	27659	27659	59.5	2.44	90.33	2503	No	No	No	16	7
STP672.12605_R.bin.17	98.88	0.0	0.0	True	2656551	0	30	30	176010	176010	88551	88551	339743	339743	36.6	0.99	83.88	2455	Yes	No	No	23	13
STP672.12605_R.bin.20	99.06	0.71	50.0	True	2488644	0	95	95	41058	41058	26196	26196	115624	115624	32.4	1.9	90.69	2490	Yes	No	No	40	18
STP672.12605_R.bin.23	69.4	1.57	0.0	True	1442553	0	56	56	41367	41367	25759	25759	126505	126505	28.8	1.25	84.64	1520	Yes	No	No	34	18
STP672.12605_R.bin.24	94.35	2.22	0.0	True	3214520	0	67	67	67528	67528	47977	47977	207082	207082	60.2	1.75	86.43	2639	Yes	No	No	54	23
STP672.12605_R.bin.26	74.44	3.86	25.0	True	2177663	0	626	626	3895	3895	3478	3478	14138	14138	38.5	2.13	90.68	2524	Yes	No	No	15	10
STP672.12605_R.bin.27	83.01	2.31	12.5	True	2562943	0	345	345	9803	9803	7428	7428	29767	29767	49.8	3.34	83.56	2467	Yes	No	No	28	17
STP672.12605_R.bin.28	81.34	5.61	23.53	True	2683435	0	436	436	8065	8065	6154	6154	37859	37859	52.7	2.05	92.51	2747	Yes	Yes	Yes	24	11
STP672.12605_R.bin.3	98.71	5.06	8.33	True	3350981	0	37	37	182002	182002	90567	90567	354089	354089	51.7	1.43	89.95	3090	No	No	Yes	58	21
STP672.12605_R.bin.30	94.36	0.97	0.0	True	3538728	0	108	108	47824	47824	32766	32766	161990	161990	50.9	2.51	88.22	3141	No	No	No	37	18
STP672.12605_R.bin.32	98.58	0.6	92.31	True	3483954	0	130	130	47580	47580	26799	26799	191835	191835	43.8	1.68	89.8	3319	No	No	No	52	21
STP672.12605_R.bin.33	86.21	0.95	50.0	True	2903470	0	57	57	74592	74592	50938	50938	273258	273258	48.7	1.82	88.87	2569	No	No	Yes	39	18
STP672.12605_R.bin.34	97.67	8.87	5.26	True	3858671	0	276	276	23730	23730	13980	13980	66743	66743	48.6	1.89	88.54	3594	Yes	No	No	46	22
STP672.12605_R.bin.35	96.05	1.61	50.0	True	3552337	0	67	67	90653	90653	53019	53019	233654	233654	60.1	1.94	87.58	3069	No	No	No	52	22
STP672.12605_R.bin.37	95.57	2.06	60.0	True	3507156	0	120	120	44808	44808	29226	29226	131914	131914	50.7	2.09	90.3	3241	No	No	No	56	21
STP672.12605_R.bin.38	96.09	3.77	0.0	True	2773180	0	50	50	91272	91272	55463	55463	242354	242354	39.7	1.34	87.38	2446	Yes	No	Yes	42	22
STP672.12605_R.bin.4	94.39	1.27	0.0	True	4071886	0	133	133	46800	46800	30615	30615	211841	211841	50.0	1.68	89.83	3707	No	No	No	35	17
STP672.12605_R.bin.40	81.63	1.34	50.0	True	2284663	0	422	422	7370	7370	5413	5413	31183	31183	43.5	1.98	90.7	2374	No	No	No	28	15
STP672.12605_R.bin.43	94.3	3.8	37.5	True	3168174	0	143	143	32287	32287	22155	22155	166972	166972	52.6	2.06	88.64	2828	No	No	Yes	54	20
STP672.12605_R.bin.45	90.35	2.01	33.33	True	2610836	0	160	160	27835	27835	16317	16317	70841	70841	56.4	2.82	86.72	2535	Yes	No	No	36	17
STP672.12605_R.bin.47	100.0	1.08	0.0	True	3391932	0	135	135	42465	42465	25125	25125	242288	242288	30.2	1.88	89.93	3393	No	No	No	48	22
