Genome	Cluster	Representative
STP672.12605_R.bin.24	10	True
STP672.12605_R.bin.35	21	True
STP672.12605_R.bin.102	32	True
STP672.12605_R.bin.86	43	True
STP672.12605_R.bin.63	51	True
STP672.12605_R.bin.80	52	True
STP672.12605_R.bin.62	53	True
STP672.12605_R.bin.74	54	True
STP672.12605_R.bin.8	55	True
STP672.12605_R.bin.76	0	True
STP672.12605_R.bin.83	1	True
STP672.12605_R.bin.90	2	True
STP672.12605_R.bin.104	3	True
STP672.12605_R.bin.45	4	True
STP672.12605_R.bin.15	5	True
STP672.12605_R.bin.78	6	True
STP672.12605_R.bin.7	7	True
STP672.12605_R.bin.85	8	True
STP672.12605_R.bin.32	9	True
STP672.12605_R.bin.37	11	True
STP672.12605_R.bin.43	12	True
STP672.12605_R.bin.1	13	True
STP672.12605_R.bin.11	14	True
STP672.12605_R.bin.40	15	True
STP672.12605_R.bin.64	16	True
STP672.12605_R.bin.30	17	True
STP672.12605_R.bin.54	18	True
STP672.12605_R.bin.101	19	True
STP672.12605_R.bin.4	20	True
STP672.12605_R.bin.28	22	True
STP672.12605_R.bin.71	23	True
STP672.12605_R.bin.3	24	True
STP672.12605_R.bin.60	25	True
STP672.12605_R.bin.84	26	True
STP672.12605_R.bin.33	27	True
STP672.12605_R.bin.53	28	True
STP672.12605_R.bin.81	29	True
STP672.12605_R.bin.34	30	True
STP672.12605_R.bin.51	31	True
STP672.12605_R.bin.96	33	True
STP672.12605_R.bin.100	34	True
STP672.12605_R.bin.89	35	True
STP672.12605_R.bin.20	36	True
STP672.12605_R.bin.50	37	True
STP672.12605_R.bin.12	38	True
STP672.12605_R.bin.72	39	True
STP672.12605_R.bin.23	40	True
STP672.12605_R.bin.49	41	True
STP672.12605_R.bin.26	42	True
STP672.12605_R.bin.38	44	True
STP672.12605_R.bin.66	45	True
STP672.12605_R.bin.17	46	True
STP672.12605_R.bin.47	47	True
STP672.12605_R.bin.82	48	True
STP672.12605_R.bin.27	49	True
STP672.12605_R.bin.79	50	True
