Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP672.12605_R.bin.1	97.33	8.23	0.0	True	5082215	0	278	278	27615	27615	18281	18281	107766	107766	45.0	2.66	88.48	4820	No	No	No	70	21
STP672.12605_R.bin.10	12.78	0.0	0.0	True	329082	0	4	4	319477	319477	82270	82270	319477	319477	39.6	1.15	89.2	303	No	No	No	10	8
STP672.12605_R.bin.100	97.05	0.0	0.0	True	2438474	0	74	74	58702	58702	32952	32952	133584	133584	53.1	1.99	79.2	2181	No	No	Yes	48	22
STP672.12605_R.bin.101	84.14	0.63	0.0	True	2884124	0	41	41	112605	112605	70344	70344	300292	300292	52.1	1.77	89.43	2582	No	No	No	50	18
STP672.12605_R.bin.102	97.82	1.49	71.43	True	4474849	0	154	154	52695	52695	29057	29057	269028	269028	48.3	2.57	88.72	3512	Yes	No	No	57	21
STP672.12605_R.bin.103	88.09	15.31	36.11	False	7167308	0	1104	1104	9358	9358	6492	6492	63579	63579	45.4	3.0	89.31	7213	No	No	No	51	19
STP672.12605_R.bin.104	92.48	6.72	25.0	True	3057778	0	304	304	15157	15157	10058	10058	91337	91337	63.6	2.37	83.46	2900	No	Yes	Yes	30	16
STP672.12605_R.bin.105	27.07	1.72	50.0	True	583243	0	28	28	30749	30749	20830	20830	134073	134073	28.1	1.82	87.6	567	Yes	No	No	6	5
STP672.12605_R.bin.11	95.23	3.59	31.25	True	3015392	0	38	38	107044	107044	79352	79352	312740	312740	47.3	1.35	91.54	2773	No	No	No	41	18
STP672.12605_R.bin.12	95.13	1.01	0.0	True	2850860	0	212	212	20376	20376	13447	13447	61796	61796	38.3	2.02	87.79	2560	Yes	No	No	40	18
STP672.12605_R.bin.13	96.55	10.34	50.0	True	3019744	0	47	47	119810	119810	64249	64249	399988	399988	41.5	1.73	90.76	2859	No	No	Yes	57	22
STP672.12605_R.bin.14	5.26	0.0	0.0	True	550151	0	27	27	29684	29684	20375	20375	138650	138650	44.4	2.58	86.46	565	No	No	No	2	2
STP672.12605_R.bin.15	80.49	2.99	5.88	True	2345309	0	580	580	4760	4760	4043	4043	27659	27659	59.5	2.44	90.33	2503	No	No	No	16	7
STP672.12605_R.bin.16	3.45	0.0	0.0	True	229967	0	16	16	37066	37066	14372	14372	54567	54567	47.8	1.46	88.29	198	No	No	Yes	3	2
STP672.12605_R.bin.17	98.88	0.0	0.0	True	2656551	0	30	30	176010	176010	88551	88551	339743	339743	36.6	0.99	83.88	2455	Yes	No	No	23	13
STP672.12605_R.bin.18	62.07	1.72	0.0	False	2550992	0	67	67	192758	192758	38074	38074	318316	318316	38.7	3.19	87.21	2284	No	No	No	43	20
