Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+

STP294.12602_R.bin.1	k__Bacteria (UID203)	5449	104	58	0.31	0.00	0.00	249110	0	1	1	249110	249110	249110	249110	249110	249110	46.2	0.00	94.23	11	225	102	2	0	0	0	0
STP294.12602_R.bin.10	k__Bacteria (UID203)	5449	104	58	27.59	0.00	0.00	838644	0	8	8	186030	186030	104830	104830	309434	309434	41.4	1.53	88.00	11	837	83	21	0	0	0	0
STP294.12602_R.bin.100	o__Clostridiales (UID1212)	172	263	149	84.56	3.36	83.33	2377846	0	312	312	10535	10535	7621	7621	34046	34046	51.8	2.18	85.41	11	2309	39	218	6	0	0	0
STP294.12602_R.bin.101	k__Bacteria (UID203)	5449	104	58	0.31	0.00	0.00	269699	0	29	29	14711	14711	9299	9299	34768	34768	37.8	1.52	92.77	11	273	102	2	0	0	0	0
STP294.12602_R.bin.102	o__Clostridiales (UID1212)	172	261	147	91.02	2.96	23.08	2830402	0	491	491	7462	7462	5764	5764	33537	33537	52.7	3.73	85.50	11	2770	32	216	13	0	0	0
STP294.12602_R.bin.103	root (UID1)	5656	56	24	0.00	0.00	0.00	225768	0	7	7	71656	71656	32252	32252	111460	111460	29.5	1.82	89.13	11	329	56	0	0	0	0	0
STP294.12602_R.bin.104	k__Bacteria (UID203)	5449	104	58	0.94	0.00	0.00	215402	0	18	18	132636	132636	11966	11966	132636	132636	41.0	2.09	87.66	11	288	98	6	0	0	0	0
STP294.12602_R.bin.105	p__Bacteroidetes (UID2605)	350	315	209	97.61	1.45	20.00	2032416	0	88	88	39441	39441	23095	23095	94292	94292	47.2	1.61	92.79	11	1876	5	305	5	0	0	0
STP294.12602_R.bin.106	root (UID1)	5656	56	24	0.00	0.00	0.00	353550	0	31	31	30157	30157	11404	11404	70778	70778	40.6	1.24	88.15	11	388	56	0	0	0	0	0
STP294.12602_R.bin.107	k__Bacteria (UID2372)	131	177	106	92.31	5.79	15.38	2867465	0	396	396	10132	10132	7241	7241	40486	40486	35.6	1.47	90.52	11	3000	30	134	13	0	0	0
STP294.12602_R.bin.108	p__Actinobacteria (UID2112)	31	211	124	88.57	0.29	0.00	2421711	0	368	368	8168	8168	6580	6580	38282	38282	53.5	2.09	89.36	11	2300	37	170	4	0	0	0
STP294.12602_R.bin.109	o__Bacteroidales (UID2621)	198	427	260	97.24	0.38	33.33	3917180	0	128	128	49598	49598	30602	30602	190702	190702	48.1	2.44	91.51	11	3225	18	408	0	1	0	0
STP294.12602_R.bin.11	o__Actinomycetales (UID1746)	334	370	206	84.32	3.28	20.00	3428078	0	689	689	6396	6396	4975	4975	26391	26391	69.5	2.46	89.64	11	3852	50	305	15	0	0	0
STP294.12602_R.bin.110	k__Bacteria (UID203)	5449	104	58	56.03	0.00	0.00	2123900	0	133	133	25277	25277	15969	15969	63164	63164	44.2	1.69	89.81	11	1788	68	36	0	0	0	0
STP294.12602_R.bin.111	k__Bacteria (UID203)	5449	104	58	83.78	6.90	50.00	2401175	0	126	126	29466	29466	19056	19056	73668	73668	57.5	2.06	88.29	11	2022	46	54	4	0	0	0
STP294.12602_R.bin.112	k__Bacteria (UID2565)	2921	152	93	49.64	0.00	0.00	915018	0	10	10	165204	165204	91501	91501	433783	433783	41.8	1.06	90.19	11	937	73	79	0	0	0	0
STP294.12602_R.bin.113	root (UID1)	5656	56	24	12.50	4.17	0.00	2198785	0	669	669	3422	3422	3286	3286	15781	15781	45.9	2.39	93.02	11	2119	53	2	1	0	0	0
STP294.12602_R.bin.114	p__Bacteroidetes (UID2605)	350	316	210	94.77	2.00	22.22	1784865	0	227	227	10945	10945	7862	7862	29156	29156	38.8	1.58	93.81	11	1757	33	274	9	0	0	0
STP294.12602_R.bin.115	k__Bacteria (UID2982)	88	230	148	96.62	1.35	0.00	2919316	0	52	52	85933	85933	56140	56140	281445	281445	44.9	1.33	90.44	11	2309	6	222	2	0	0	0
STP294.12602_R.bin.116	o__Clostridiales (UID1212)	172	263	149	90.60	2.01	0.00	2295393	0	158	158	21628	21628	14527	14527	92602	92602	55.8	2.14	85.94	11	2120	30	230	2	1	0	0
STP294.12602_R.bin.117	k__Bacteria (UID203)	5449	104	58	13.79	0.00	0.00	469491	0	192	192	2507	2507	2445	2445	5887	5887	47.3	1.92	88.37	11	545	95	9	0	0	0	0
STP294.12602_R.bin.118	p__Bacteroidetes (UID2605)	350	314	208	94.50	3.73	5.88	1738119	0	277	277	8239	8239	6274	6274	29953	29953	47.2	1.70	93.46	11	1714	35	262	17	0	0	0
STP294.12602_R.bin.119	k__Bacteria (UID203)	5449	104	58	15.52	0.00	0.00	438566	0	195	195	2251	2251	2249	2249	5686	5686	58.4	2.18	92.30	11	513	95	9	0	0	0	0
STP294.12602_R.bin.12	k__Bacteria (UID203)	5449	104	58	40.52	1.72	100.00	1141964	0	429	429	2650	2650	2661	2661	11866	11866	43.0	2.05	89.23	11	1348	78	25	1	0	0	0
STP294.12602_R.bin.120	k__Bacteria (UID203)	5449	104	58	22.41	1.72	0.00	603978	0	249	249	2477	2477	2425	2425	6958	6958	41.3	1.96	89.37	11	697	90	13	1	0	0	0
STP294.12602_R.bin.121	k__Bacteria (UID203)	5449	104	58	28.10	0.00	0.00	628519	0	231	231	2771	2771	2720	2720	8240	8240	43.7	1.75	93.27	11	760	80	24	0	0	0	0
STP294.12602_R.bin.122	c__Deltaproteobacteria (UID3218)	61	284	169	93.02	2.60	50.00	3579805	0	451	451	10873	10873	7937	7937	34400	34400	57.5	2.98	87.15	11	3171	22	248	11	3	0	0
STP294.12602_R.bin.123	k__Bacteria (UID203)	5449	104	58	34.09	3.45	50.00	652170	0	236	236	2747	2747	2763	2763	11423	11423	56.6	1.97	93.91	11	754	79	23	2	0	0	0
STP294.12602_R.bin.124	k__Bacteria (UID2982)	88	229	147	97.96	0.68	0.00	2343691	0	25	25	120396	120396	93747	93747	223132	223132	50.2	0.94	91.66	11	2018	3	225	1	0	0	0
STP294.12602_R.bin.125	root (UID1)	5656	56	24	4.17	0.00	0.00	342918	0	14	14	260663	260663	24494	24494	260663	260663	35.1	1.07	90.93	11	354	55	1	0	0	0	0
STP294.12602_R.bin.126	o__Lactobacillales (UID544)	293	473	265	65.28	0.00	0.00	2829254	0	13	13	290422	290422	217634	217634	685089	685089	42.8	1.14	88.22	11	2604	154	319	0	0	0	0
STP294.12602_R.bin.127	k__Bacteria (UID203)	5449	103	57	12.28	0.00	0.00	447527	0	223	223	1959	1959	2006	2006	4269	4269	62.6	2.21	93.05	11	517	94	9	0	0	0	0
STP294.12602_R.bin.128	k__Bacteria (UID203)	5449	100	55	21.90	0.00	0.00	214448	0	107	107	1933	1933	2004	2004	3724	3724	39.8	1.90	90.90	11	266	81	19	0	0	0	0
STP294.12602_R.bin.129	k__Bacteria (UID203)	5449	104	58	10.34	0.00	0.00	589223	0	225	225	2746	2746	2618	2618	8222	8222	50.5	1.85	92.52	11	614	97	7	0	0	0	0
STP294.12602_R.bin.13	k__Bacteria (UID203)	5449	104	58	77.99	16.77	10.00	3864779	0	1072	1072	4054	4054	3605	3605	21022	21022	40.8	1.88	84.93	11	4193	32	54	12	6	0	0
STP294.12602_R.bin.130	k__Bacteria (UID203)	5449	104	58	28.45	0.00	0.00	1348853	0	406	406	3495	3495	3322	3322	19719	19719	59.9	1.95	94.77	11	1409	86	18	0	0	0	0
STP294.12602_R.bin.131	k__Bacteria (UID203)	5449	104	58	56.90	3.45	0.00	3600911	0	136	136	63730	63730	26477	26477	232278	232278	41.3	1.41	90.40	11	2904	65	38	0	1	0	0
STP294.12602_R.bin.132	p__Bacteroidetes (UID2605)	350	315	209	98.93	0.00	0.00	2559627	0	32	32	124362	124362	79988	79988	294526	294526	45.7	1.18	90.85	11	2138	4	311	0	0	0	0
STP294.12602_R.bin.133	k__Bacteria (UID203)	5449	103	57	26.90	0.00	0.00	794589	0	357	357	2135	2135	2225	2225	9482	9482	59.2	2.27	92.28	11	1011	84	19	0	0	0	0
STP294.12602_R.bin.134	p__Bacteroidetes (UID2605)	350	316	210	48.94	1.19	0.00	1031797	0	385	385	2746	2746	2679	2679	10921	10921	40.1	1.58	91.73	11	1085	183	129	4	0	0	0
STP294.12602_R.bin.135	k__Bacteria (UID203)	5449	104	58	10.34	0.00	0.00	575062	0	89	89	9389	9389	6461	6461	95103	95103	45.7	2.12	86.22	11	604	96	8	0	0	0	0
STP294.12602_R.bin.136	k__Bacteria (UID203)	5449	104	58	25.86	0.00	0.00	738489	0	244	244	3209	3209	3026	3026	17331	17331	56.6	1.91	93.87	11	842	89	15	0	0	0	0
STP294.12602_R.bin.137	c__Bacilli (UID285)	586	325	181	90.32	1.49	0.00	2842604	0	37	37	207910	207910	76827	76827	383604	383604	36.3	1.64	80.40	11	2447	28	293	4	0	0	0
