Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+

STP748.12607_R.bin.1	k__Archaea (UID2)	207	149	107	48.07	12.40	0.00	3904632	0	1448	1448	2797	2797	2696	2696	11771	11771	42.0	2.60	78.55	11	5056	69	61	12	6	0	1
STP748.12607_R.bin.10	root (UID1)	5656	56	24	0.00	0.00	0.00	10806617	0	4590	4590	2311	2311	2354	2354	10070	10070	42.6	3.43	81.14	4	13239	56	0	0	0	0	0
STP748.12607_R.bin.11	k__Bacteria (UID2982)	88	229	147	95.78	0.68	0.00	2338030	0	63	63	59218	59218	37111	37111	168947	168947	46.3	1.92	92.39	11	1999	7	221	1	0	0	0
STP748.12607_R.bin.12	root (UID1)	5656	56	24	0.00	0.00	0.00	487255	0	159	159	3394	3394	3064	3064	7208	7208	47.9	1.97	85.11	4	527	56	0	0	0	0	0
STP748.12607_R.bin.13	k__Bacteria (UID203)	5449	103	57	50.88	1.75	0.00	936469	0	420	420	2164	2164	2229	2229	7705	7705	59.6	3.02	93.56	11	1070	67	35	1	0	0	0
STP748.12607_R.bin.14	k__Bacteria (UID203)	5449	104	58	44.12	0.00	0.00	2119066	0	699	699	3240	3240	3031	3031	10139	10139	51.0	2.89	91.58	11	2096	77	27	0	0	0	0
STP748.12607_R.bin.15	p__Bacteroidetes (UID2605)	350	315	209	96.17	0.16	0.00	1902348	0	91	91	29226	29226	20904	20904	65799	65799	50.4	2.01	92.81	11	1707	10	304	1	0	0	0
STP748.12607_R.bin.16	k__Bacteria (UID2982)	88	229	147	93.91	0.00	0.00	2866896	0	62	62	71113	71113	46240	46240	178026	178026	57.5	1.81	89.97	11	2499	12	217	0	0	0	0
STP748.12607_R.bin.17	k__Bacteria (UID203)	5449	104	58	13.79	0.00	0.00	429048	0	165	165	2560	2560	2600	2600	6331	6331	48.5	2.33	91.90	11	491	94	10	0	0	0	0
STP748.12607_R.bin.18	k__Bacteria (UID203)	5449	104	58	8.93	0.00	0.00	665047	0	334	334	1921	1921	1991	1991	5931	5931	68.6	3.06	89.46	11	887	96	8	0	0	0	0
STP748.12607_R.bin.19	root (UID1)	5656	56	24	0.00	0.00	0.00	226692	0	98	98	2322	2322	2313	2313	5642	5642	51.0	2.18	83.54	4	236	56	0	0	0	0	0
STP748.12607_R.bin.2	k__Bacteria (UID203)	5449	104	58	97.41	236.32	23.05	16826631	0	6197	6197	2721	2721	2715	2715	24361	24361	44.5	3.84	90.23	11	18101	2	4	28	26	20	24
STP748.12607_R.bin.20	c__Betaproteobacteria (UID3888)	323	387	234	80.43	1.82	28.57	2090013	0	582	582	3965	3965	3591	3591	22722	22722	54.5	2.58	90.48	11	2404	88	292	7	0	0	0
STP748.12607_R.bin.21	k__Bacteria (UID2982)	88	229	147	96.80	2.38	0.00	2939375	0	59	59	84318	84318	49819	49819	195175	195175	50.2	2.35	91.99	11	2409	22	203	4	0	0	0
STP748.12607_R.bin.22	o__Clostridiales (UID1212)	172	261	147	89.29	0.68	0.00	2541307	0	593	593	5360	5360	4285	4285	25799	25799	50.3	3.18	91.35	11	2724	23	237	1	0	0	0
STP748.12607_R.bin.23	k__Bacteria (UID203)	5449	103	58	98.28	106.51	2.90	4898626	0	2037	2037	2337	2337	2404	2404	22133	22133	31.3	4.13	85.72	11	6084	1	22	30	34	14	2
STP748.12607_R.bin.24	k__Bacteria (UID203)	5449	104	58	90.13	83.33	8.33	3428596	0	815	815	5106	5106	4206	4206	26480	26480	37.2	2.83	90.68	11	3582	38	12	51	3	0	0
STP748.12607_R.bin.25	root (UID1)	5656	56	24	0.00	0.00	0.00	262209	0	87	87	3570	3570	3013	3013	7172	7172	51.4	2.29	80.56	4	272	56	0	0	0	0	0
STP748.12607_R.bin.26	k__Bacteria (UID203)	5449	104	58	8.62	0.00	0.00	450096	0	202	202	2215	2215	2228	2228	4626	4626	60.1	2.47	91.88	11	468	99	5	0	0	0	0
STP748.12607_R.bin.27	f__Lachnospiraceae (UID1255)	90	354	174	82.21	3.66	7.69	2587634	0	505	505	6626	6626	5124	5124	26950	26950	38.3	2.07	91.02	11	2737	58	285	10	1	0	0
STP748.12607_R.bin.28	p__Actinobacteria (UID2112)	31	211	124	30.48	0.27	0.00	807228	0	347	347	2293	2293	2326	2326	6888	6888	58.2	2.30	89.97	11	902	144	66	1	0	0	0
STP748.12607_R.bin.29	p__Bacteroidetes (UID2605)	350	316	210	87.92	2.54	0.00	2685832	0	441	441	7727	7727	6090	6090	38123	38123	40.6	2.14	92.88	11	2520	41	267	8	0	0	0
STP748.12607_R.bin.3	o__Bacteroidales (UID2657)	160	492	269	58.07	2.89	41.18	2957777	0	595	595	6190	6190	4971	4971	24191	24191	50.7	3.41	90.79	11	2630	201	274	17	0	0	0
