Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+

STP672.12605_R.bin.1	o__Clostridiales (UID1226)	155	278	158	97.33	8.23	0.00	5082215	0	278	278	27615	27615	18281	18281	107766	107766	45.0	2.66	88.48	11	4820	14	247	16	1	0	0
STP672.12605_R.bin.10	o__Bacteroidales (UID2654)	163	486	266	12.78	0.00	0.00	329082	0	4	4	319477	319477	82270	82270	319477	319477	39.6	1.15	89.20	11	303	385	101	0	0	0	0
STP672.12605_R.bin.100	o__Clostridiales (UID1212)	172	261	147	97.05	0.00	0.00	2438474	0	74	74	58702	58702	32952	32952	133584	133584	53.1	1.99	79.20	11	2181	6	255	0	0	0	0
STP672.12605_R.bin.101	o__Clostridiales (UID1226)	155	278	158	84.14	0.63	0.00	2884124	0	41	41	112605	112605	70344	70344	300292	300292	52.1	1.77	89.43	11	2582	45	232	1	0	0	0
STP672.12605_R.bin.102	o__Bacteroidales (UID2621)	198	427	260	97.82	1.49	71.43	4474849	0	154	154	52695	52695	29057	29057	269028	269028	48.3	2.57	88.72	11	3512	19	401	7	0	0	0
STP672.12605_R.bin.103	o__Clostridiales (UID1226)	155	274	157	88.09	15.31	36.11	7167308	0	1104	1104	9358	9358	6492	6492	63579	63579	45.4	3.00	89.31	11	7213	60	182	30	2	0	0
STP672.12605_R.bin.104	k__Bacteria (UID203)	5449	98	58	92.48	6.72	25.00	3057778	0	304	304	15157	15157	10058	10058	91337	91337	63.6	2.37	83.46	11	2900	8	74	16	0	0	0
STP672.12605_R.bin.105	k__Bacteria (UID203)	5449	103	58	27.07	1.72	50.00	583243	0	28	28	30749	30749	20830	20830	134073	134073	28.1	1.82	87.60	11	567	83	18	2	0	0	0
STP672.12605_R.bin.11	o__Clostridiales (UID1226)	155	278	158	95.23	3.59	31.25	3015392	0	38	38	107044	107044	79352	79352	312740	312740	47.3	1.35	91.54	11	2773	11	256	10	0	1	0
STP672.12605_R.bin.12	o__Clostridiales (UID1212)	172	263	149	95.13	1.01	0.00	2850860	0	212	212	20376	20376	13447	13447	61796	61796	38.3	2.02	87.79	11	2560	9	252	2	0	0	0
STP672.12605_R.bin.13	k__Bacteria (UID203)	5449	104	58	96.55	10.34	50.00	3019744	0	47	47	119810	119810	64249	64249	399988	399988	41.5	1.73	90.76	11	2859	3	71	30	0	0	0
STP672.12605_R.bin.14	k__Bacteria (UID203)	5449	103	57	5.26	0.00	0.00	550151	0	27	27	29684	29684	20375	20375	138650	138650	44.4	2.58	86.46	11	565	100	3	0	0	0	0
STP672.12605_R.bin.15	o__Clostridiales (UID1212)	172	263	149	80.49	2.99	5.88	2345309	0	580	580	4760	4760	4043	4043	27659	27659	59.5	2.44	90.33	11	2503	52	196	14	1	0	0
STP672.12605_R.bin.16	k__Bacteria (UID203)	5449	104	58	3.45	0.00	0.00	229967	0	16	16	37066	37066	14372	14372	54567	54567	47.8	1.46	88.29	11	198	100	4	0	0	0	0
STP672.12605_R.bin.17	o__Lactobacillales (UID544)	293	475	267	98.88	0.00	0.00	2656551	0	30	30	176010	176010	88551	88551	339743	339743	36.6	0.99	83.88	11	2455	4	471	0	0	0	0
STP672.12605_R.bin.18	k__Bacteria (UID203)	5449	104	58	62.07	1.72	0.00	2550992	0	67	67	192758	192758	38074	38074	318316	318316	38.7	3.19	87.21	11	2284	62	40	2	0	0	0
STP672.12605_R.bin.19	root (UID1)	5656	56	24	0.00	0.00	0.00	299666	0	2	2	244409	244409	149833	149833	244409	244409	49.9	0.27	84.97	11	294	56	0	0	0	0	0
STP672.12605_R.bin.2	o__Bacteroidales (UID2621)	198	427	260	33.46	0.13	0.00	1466631	0	13	13	122674	122674	112817	112817	344588	344588	48.1	1.16	85.30	11	1189	282	144	1	0	0	0
STP672.12605_R.bin.20	k__Bacteria (UID2372)	131	177	106	99.06	0.71	50.00	2488644	0	95	95	41058	41058	26196	26196	115624	115624	32.4	1.90	90.69	11	2490	2	173	2	0	0	0
STP672.12605_R.bin.21	root (UID1)	5656	56	24	100.00	196.47	72.96	9984756	0	243	243	66553	66553	41089	41089	360188	360188	64.1	2.52	88.06	11	8629	0	0	9	44	3	0
STP672.12605_R.bin.22	k__Bacteria (UID203)	5449	103	57	45.96	3.51	0.00	1993597	0	588	588	3625	3625	3390	3390	13773	13773	52.1	2.40	92.06	11	2162	73	28	2	0	0	0
STP672.12605_R.bin.23	o__Clostridiales (UID1212)	172	263	149	69.40	1.57	0.00	1442553	0	56	56	41367	41367	25759	25759	126505	126505	28.8	1.25	84.64	11	1520	60	201	1	1	0	0
