Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+

STP248.12601_R.bin.1	k__Bacteria (UID203)	5449	98	58	90.17	111.58	27.08	6266035	0	1357	1357	5517	5517	4617	4617	45242	45242	61.6	2.34	87.74	11	6112	9	15	36	20	9	9
STP248.12601_R.bin.10	o__Bacteroidales (UID2621)	198	427	260	84.89	3.08	44.44	4247566	0	307	307	21346	21346	13835	13835	75304	75304	44.5	2.55	91.38	11	3579	95	323	9	0	0	0
STP248.12601_R.bin.100	c__Clostridia (UID1085)	35	420	196	72.65	1.19	0.00	2461523	0	621	621	4516	4516	3963	3963	19403	19403	45.3	2.46	87.55	11	2502	145	272	3	0	0	0
STP248.12601_R.bin.101	k__Bacteria (UID203)	5449	104	58	31.03	2.59	50.00	605288	0	218	218	2801	2801	2776	2776	7830	7830	52.0	2.14	91.71	11	690	85	17	2	0	0	0
STP248.12601_R.bin.102	root (UID1)	5656	56	24	0.00	0.00	0.00	371413	0	14	14	28799	28799	26529	26529	68883	68883	53.4	0.86	91.66	11	307	56	0	0	0	0	0
STP248.12601_R.bin.103	k__Bacteria (UID203)	5449	104	58	60.50	0.00	0.00	2696353	0	396	396	9615	9615	6808	6808	43468	43468	45.6	2.25	88.18	11	2381	66	38	0	0	0	0
STP248.12601_R.bin.104	p__Bacteroidetes (UID2605)	350	314	208	92.55	9.50	40.00	2653419	0	41	41	86701	86701	64717	64717	263433	263433	53.7	1.92	90.74	11	2314	21	263	30	0	0	0
STP248.12601_R.bin.105	root (UID1)	5656	56	24	0.00	0.00	0.00	212055	0	16	16	16031	16031	13253	13253	41579	41579	45.4	1.25	83.12	11	219	56	0	0	0	0	0
STP248.12601_R.bin.106	k__Bacteria (UID203)	5449	104	58	18.97	0.00	0.00	1272299	0	397	397	3346	3346	3204	3204	13962	13962	45.1	1.95	93.22	11	1249	93	11	0	0	0	0
STP248.12601_R.bin.107	k__Bacteria (UID2569)	434	278	186	98.84	1.08	0.00	3796731	0	35	35	184066	184066	108478	108478	364437	364437	42.8	1.41	89.28	11	3145	8	268	2	0	0	0
STP248.12601_R.bin.108	o__Clostridiales (UID1212)	172	263	149	63.46	1.68	0.00	1910065	0	556	556	3728	3728	3435	3435	10727	10727	50.2	2.63	85.77	11	1840	113	146	4	0	0	0
STP248.12601_R.bin.109	o__Clostridiales (UID1212)	172	263	149	96.46	0.81	50.00	3267959	0	203	203	24965	24965	16098	16098	116875	116875	52.5	2.88	88.95	11	3157	30	231	2	0	0	0
STP248.12601_R.bin.11	o__Clostridiales (UID1212)	172	263	149	36.61	4.19	22.22	1035598	0	400	400	2658	2658	2588	2588	9535	9535	56.2	2.13	93.35	11	1128	176	78	9	0	0	0
STP248.12601_R.bin.110	k__Bacteria (UID203)	5449	103	57	40.35	0.00	0.00	508403	0	15	15	49412	49412	33893	33893	118629	118629	39.8	1.29	90.12	11	469	77	26	0	0	0	0
STP248.12601_R.bin.111	k__Bacteria (UID203)	5449	104	58	99.66	109.17	76.52	12699068	0	777	777	29097	29097	16343	16343	151126	151126	42.8	2.55	90.38	11	10792	1	44	36	21	1	1
STP248.12601_R.bin.112	f__Lachnospiraceae (UID1255)	90	354	174	98.85	4.02	0.00	5341034	0	54	54	201509	201509	98908	98908	404787	404787	45.3	2.46	89.06	11	4815	2	340	12	0	0	0
STP248.12601_R.bin.113	o__Clostridiales (UID1212)	172	263	149	84.69	2.46	40.00	2197228	0	368	368	7696	7696	5970	5970	38733	38733	54.2	2.37	89.59	11	2219	72	186	5	0	0	0
STP248.12601_R.bin.114	k__Bacteria (UID2329)	174	149	89	15.65	0.00	0.00	2044169	0	28	28	142020	142020	73006	73006	263054	263054	36.1	1.02	81.36	11	2489	121	28	0	0	0	0
STP248.12601_R.bin.115	k__Bacteria (UID2982)	88	229	147	94.56	0.00	0.00	2261930	0	48	48	80713	80713	47123	47123	152813	152813	44.7	1.57	91.86	11	1906	8	221	0	0	0	0
STP248.12601_R.bin.116	root (UID1)	5656	56	24	4.17	0.00	0.00	208835	0	83	83	2542	2542	2516	2516	5321	5321	47.6	1.80	87.96	11	273	55	1	0	0	0	0
