Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+

STP701.12606_R.bin.1	root (UID1)	5656	56	24	0.00	0.00	0.00	555125	0	219	219	2611	2611	2534	2534	6660	6660	55.7	1.60	84.35	11	1114	56	0	0	0	0	0
STP701.12606_R.bin.10	root (UID1)	5656	56	24	0.00	0.00	0.00	348734	0	157	157	2197	2197	2221	2221	4664	4664	51.7	1.08	86.47	11	637	56	0	0	0	0	0
STP701.12606_R.bin.2	k__Archaea (UID2)	207	149	107	31.58	13.85	6.67	1405251989	0	343731	343731	4816	4816	4088	4088	48157	48157	40.1	2.76	32.56	11	1948636	97	33	17	1	0	1
STP701.12606_R.bin.3	root (UID1)	5656	56	24	0.00	0.00	0.00	205149	0	78	78	2668	2668	2630	2630	5689	5689	45.6	1.42	33.67	11	283	56	0	0	0	0	0
STP701.12606_R.bin.4	root (UID1)	5656	56	24	0.00	0.00	0.00	278328	0	143	143	1900	1900	1946	1946	3797	3797	45.0	1.82	76.15	4	470	56	0	0	0	0	0
STP701.12606_R.bin.5	o__Campylobacterales (UID3068)	106	477	284	99.77	0.41	0.00	1835318	0	51	51	67568	67568	35986	35986	194364	194364	29.0	1.70	91.22	11	1827	2	473	2	0	0	0
STP701.12606_R.bin.6	root (UID1)	5656	56	24	0.00	0.00	0.00	298042	0	146	146	1998	1998	2041	2041	3784	3784	48.1	1.61	75.91	11	595	56	0	0	0	0	0
STP701.12606_R.bin.7	root (UID1)	5656	56	24	0.00	0.00	0.00	277828	0	73	73	4380	4380	3805	3805	8795	8795	48.2	1.20	31.01	11	320	56	0	0	0	0	0
STP701.12606_R.bin.8	root (UID1)	5656	56	24	0.00	0.00	0.00	1572180	0	768	768	1985	1985	2047	2047	6841	6841	49.1	1.70	80.48	4	2938	56	0	0	0	0	0
STP701.12606_R.bin.9	root (UID1)	5656	56	24	0.00	0.00	0.00	7087037	0	1086	1086	8535	8535	6525	6525	57324	57324	54.3	2.83	62.35	11	13064	56	0	0	0	0	0

