user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
STP294.12602_R.bin.1.fa	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
STP294.12602_R.bin.10.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D sp002850555	GCF_002850555.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D sp002850555	98.51	0.86	GCF_002850555.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D sp002850555	98.51	0.86	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001544095.1, s__Enterococcus_D casseliflavus, 95.0, 93.6, 0.79; GCF_001297065.1, s__Enterococcus_D sp001297065, 95.0, 79.68, 0.38; GCF_002140915.1, s__Enterococcus_D sp002140915, 95.0, 79.46, 0.4; GCF_001544275.1, s__Enterococcus_D gallinarum, 95.0, 79.12, 0.29	24.58	11	N/A	N/A
STP294.12602_R.bin.100.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCF_003814745.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium;s__Hydrogenoanaerobacterium saccharovorans	78.01	0.12	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_014384885.1, s__Hydrogenoanaerobacterium sp014384885, 95.0, 77.41, 0.15	84.63	11	0.9450392949223155	N/A
STP294.12602_R.bin.101.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.5%)
STP294.12602_R.bin.102.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_009929695.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium sp009929695	75.93	0.03	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000949455.1, s__Ruthenibacterium lactatiformans, 95.0, 76.97, 0.14; GCA_018380115.1, s__Ruthenibacterium sp018380115, 95.0, 76.76, 0.09; GCA_905212515.1, s__Ruthenibacterium sp905212515, 95.0, 76.67, 0.12; GCA_910587145.1, s__Ruthenibacterium sp013316265, 95.0, 76.64, 0.09; GCA_002315015.1, s__Ruthenibacterium avium, 95.0, 76.57, 0.05; GCA_900546885.1, s__Ruthenibacterium merdipullorum, 95.0, 76.49, 0.12; GCA_019119935.1, s__Ruthenibacterium merdavium, 95.0, 76.4, 0.06; GCA_014799685.1, s__Ruthenibacterium sp014799685, 95.0, 76.23, 0.08; GCA_019113785.1, s__Ruthenibacterium merdigallinarum, 95.0, 76.19, 0.09	78.22	11	0.8971056336299905	N/A
STP294.12602_R.bin.103.fa	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
STP294.12602_R.bin.104.fa	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
STP294.12602_R.bin.105.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Mucinivorans;s__	N/A	N/A	N/A	N/A	N/A	GCA_002315675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Mucinivorans;s__Mucinivorans sp002315675	76.79	0.01	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Mucinivorans;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_000723505.1, s__Mucinivorans hirudinis, 95.0, 75.76, 0.04	92.34	11	0.8964975968741098	N/A
STP294.12602_R.bin.106.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
STP294.12602_R.bin.107.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacillus;s__	N/A	N/A	N/A	N/A	N/A	GCF_000154285.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacillus;s__Amedibacillus dolichus	77.48	0.12	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacillus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	74.74	11	0.9409371335820041	N/A
