user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
STP572.12604_R.bin.1.fa	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA7702;f__UBA7702;g__Cryptoclostridium;s__	N/A	N/A	N/A	N/A	N/A	GCF_904420535.1	95.0	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA7702;f__UBA7702;g__Cryptoclostridium;s__Cryptoclostridium obscurum	77.11	0.13	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA7702;f__UBA7702;g__Cryptoclostridium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	74.88	11	0.8714181968869175	N/A
STP572.12604_R.bin.10.fa	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__	N/A	N/A	N/A	N/A	N/A	GCA_000980375.1	95.0	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__Limenecus avicola	78.87	0.46	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018362895.1, s__Limenecus sp018362895, 95.0, 78.68, 0.44	92.02	11	0.9542319192489942	N/A
STP572.12604_R.bin.100.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__DTU072;g__Stercoripulliclostridium;s__	N/A	N/A	N/A	N/A	N/A	GCA_018713745.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__DTU072;g__Stercoripulliclostridium;s__Stercoripulliclostridium merdipullorum	77.83	0.04	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__DTU072;g__Stercoripulliclostridium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	87.29	11	0.865582684783758	N/A
STP572.12604_R.bin.101.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA1402;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA1402;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	88.92	11	0.8019829710105478	N/A
STP572.12604_R.bin.102.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__	N/A	N/A	N/A	N/A	N/A	GCA_000436375.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__Scatacola_A faecigallinarum	76.36	0.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	92.83	11	0.9097423025032509	N/A
STP572.12604_R.bin.103.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__JADFUS01;s__	N/A	N/A	N/A	N/A	N/A	GCA_015222165.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__JADFUS01;s__JADFUS01 sp015222165	76.61	0.03	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__JADFUS01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	92.61	11	0.8759336867016595	N/A
STP572.12604_R.bin.104.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.0%)
STP572.12604_R.bin.105.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	31.99	11	0.8514150894377137	N/A
STP572.12604_R.bin.106.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-552;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-552;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.32	11	0.8068520560615883	N/A
STP572.12604_R.bin.107.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Knoellia;s__	N/A	N/A	N/A	N/A	N/A	GCF_000152705.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Knoellia;s__Knoellia sp000152705	83.23	0.63	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Knoellia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000768675.1, s__Knoellia flava, 95.0, 82.12, 0.6; GCF_007992835.1, s__Knoellia locipacati, 95.0, 82.0, 0.5; GCF_001427985.1, s__Knoellia sp001427985, 95.0, 81.34, 0.6; GCF_000768685.1, s__Knoellia subterranea, 95.0, 81.32, 0.5; GCF_000768705.1, s__Knoellia sinensis, 95.0, 80.86, 0.63; GCF_000768695.1, s__Knoellia aerolata, 95.0, 80.72, 0.47; GCF_003002895.1, s__Knoellia remsis, 95.0, 80.03, 0.47	16.54	11	0.9847970907642487	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
STP572.12604_R.bin.108.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__WRDF01;s__	N/A	N/A	N/A	N/A	N/A	GCA_009783565.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__WRDF01;s__WRDF01 sp009783565	75.52	0.05	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__WRDF01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	94.96	11	0.8838488100639081	N/A
STP572.12604_R.bin.109.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea;s__	N/A	N/A	N/A	N/A	N/A	GCF_900104615.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea;s__Phocea massiliensis	77.01	0.03	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	95.91	11	0.8906894605078615	N/A
STP572.12604_R.bin.11.fa	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
STP572.12604_R.bin.110.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.04	11	0.8699269942585034	N/A
STP572.12604_R.bin.111.fa	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
STP572.12604_R.bin.112.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	82.64	11	0.8532265533614284	N/A
