name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Citrobacter braakii	57706	S	3146265	14324519	17470784	0.12716
Citrobacter freundii	546	S	448649	1563187	2011836	0.01464
Citrobacter portucalensis	1639133	S	260348	408273	668621	0.00487
Citrobacter werkmanii	67827	S	64888	60777	125665	0.00091
Citrobacter cronae	1748967	S	25905	136321	162226	0.00118
Citrobacter youngae	133448	S	23703	70349	94052	0.00068
Citrobacter freundii complex sp. CFNIH2	2066049	S	13557	7308	20865	0.00015
Citrobacter freundii complex sp. CFNIH9	2077149	S	4402	15732	20134	0.00015
Citrobacter sp. MGH105	1686380	S	4297	31499	35796	0.00026
Citrobacter sp. BIDMC108	1686385	S	864	16561	17425	0.00013
Citrobacter freundii complex sp. CFNIH3	2077147	S	352	14997	15349	0.00011
Citrobacter freundii complex sp. CFNIH4	2077148	S	90	2963	3053	0.00002
Citrobacter sp. MGH103	1686378	S	57	4689	4746	0.00003
Citrobacter sp. ABFQG	2529121	S	45	9410	9455	0.00007
Citrobacter gillenii	67828	S	9945	7278	17223	0.00013
Citrobacter sedlakii	67826	S	4897	3075	7972	0.00006
Citrobacter sp. RHBSTW-00524	2742653	S	238157	1263645	1501802	0.01093
Citrobacter sp. TSA-1	184912	S	208548	1222517	1431065	0.01042
Citrobacter sp. RHBSTW-00887	2742668	S	168703	746660	915363	0.00666
Citrobacter sp. RHB35-C21	2742626	S	107544	533228	640772	0.00466
Citrobacter sp. RHB36-C18	2742627	S	70426	501712	572138	0.00416
Citrobacter sp. RHBSTW-00986	2742675	S	68979	389479	458458	0.00334
Citrobacter sp. RHBSTW-00570	2742655	S	67285	832025	899310	0.00655
Citrobacter sp. RHB25-C09	2742624	S	17410	301	17711	0.00013
Citrobacter sp. RHBSTW-00599	2742657	S	12328	222769	235097	0.00171
Citrobacter sp. R56	1573676	S	9046	572	9618	0.00007
Citrobacter sp. B72	2807631	S	8429	38129	46558	0.00034
Citrobacter sp. Colony219	2861802	S	6704	27672	34376	0.00025
Citrobacter sp. RHBSTW-00881	2742667	S	6221	106206	112427	0.00082
Citrobacter sp. On28M	2678565	S	5681	166	5847	0.00004
Citrobacter sp. LUTT5	2697370	S	5472	50537	56009	0.00041
Citrobacter sp. C1	2769343	S	4812	3130	7942	0.00006
Citrobacter sp. FDAARGOS_156	1702170	S	2877	10604	13481	0.00010
Citrobacter sp. BDA59-3	2781952	S	2575	218	2793	0.00002
Citrobacter sp. 21OH12SH02A-Citro	3015952	S	2549	44330	46879	0.00034
Citrobacter sp. CRE-46	1703250	S	2162	6593	8755	0.00006
Citrobacter sp. RHBSTW-00696	2742662	S	1879	42743	44622	0.00032
Citrobacter sp. RHBSTW-00903	2742670	S	1731	101926	103657	0.00075
Citrobacter sp. Colony322	2861801	S	1645	17126	18771	0.00014
Citrobacter sp. RHBSTW-00535	2742654	S	1454	87760	89214	0.00065
Citrobacter sp. RHBSTW-00229	2742641	S	1357	55308	56665	0.00041
Citrobacter sp. C13	2769347	S	1291	7047	8338	0.00006
Citrobacter sp. RHBSTW-00446	2742648	S	1223	386040	387263	0.00282
Citrobacter sp. RHBSTW-00944	2742671	S	1054	34951	36005	0.00026
Citrobacter sp. RHBSTW-00127	2742636	S	836	40197	41033	0.00030
Citrobacter sp. RHBSTW-00821	2742663	S	772	48277	49049	0.00036
Citrobacter sp. RHBSTW-01044	2742678	S	769	28241	29010	0.00021
Citrobacter sp. RHBSTW-00678	2742661	S	709	28256	28965	0.00021
Citrobacter sp. RHBSTW-01013	2742677	S	630	14821	15451	0.00011
Citrobacter sp. MGH 55	1439319	S	613	2012	2625	0.00002
Citrobacter sp. RHBSTW-00017	2742629	S	368	84115	84483	0.00061
Citrobacter sp. 172116965	2683822	S	340	29309	29649	0.00022
Citrobacter sp. RHBSTW-00021	2742630	S	327	53826	54153	0.00039
Citrobacter sp. RHBSTW-00848	2742665	S	327	70722	71049	0.00052
Citrobacter sp. RHBSTW-00107	2742635	S	323	312709	313032	0.00228
Citrobacter sp. RHBSTW-00053	2742632	S	310	15008	15318	0.00011
Citrobacter sp. RHBSTW-00424	2742647	S	282	47947	48229	0.00035
Citrobacter sp. RHB35-C17	2742625	S	270	1141	1411	0.00001
Citrobacter sp. RHBSTW-00667	2742659	S	267	36422	36689	0.00027
Citrobacter sp. RHBSTW-00976	2742674	S	264	13143	13407	0.00010
Citrobacter sp. RHBSTW-00859	2742666	S	258	479186	479444	0.00349
Citrobacter sp. RHBSTW-00137	2742638	S	251	72263	72514	0.00053
Citrobacter sp. RHBSTW-00628	2742658	S	224	226170	226394	0.00165
Citrobacter sp. Colony475	2861800	S	178	2126	2304	0.00002
Citrobacter sp. CFNIH10	1920110	S	149	740	889	0.00001
Citrobacter sp. XT1-2-2	2942480	S	102	1766	1868	0.00001
Citrobacter sp. CF971	2566012	S	85	2214	2299	0.00002
Citrobacter sp. S39	2660638	S	82	1574	1656	0.00001
Citrobacter sp. C5_2	2769344	S	34	103311	103345	0.00075
Citrobacter sp. Y3	2716879	S	32	614	646	0.00000
Citrobacter sp. C6_1	2769345	S	31	115780	115811	0.00084
Citrobacter sp. SX206	2712025	S	30	50435	50465	0.00037
Citrobacter sp. C6_2	2769346	S	24	127209	127233	0.00093
Citrobacter sp. SX212	2712024	S	10	1465	1475	0.00001
Citrobacter europaeus	1914243	S	129597	25550	155147	0.00113
Citrobacter meridianamericanus	2894201	S	88979	13395	102374	0.00075
Citrobacter arsenatis	2546350	S	83002	11508	94510	0.00069
Citrobacter tructae	2562449	S	52451	2131	54582	0.00040
Citrobacter koseri	545	S	25363	28884	54247	0.00039
Citrobacter farmeri	67824	S	23127	1698	24825	0.00018
Citrobacter amalonaticus	35703	S	21536	28996	50532	0.00037
Citrobacter enshiensis	2971264	S	21515	1112	22627	0.00016
Citrobacter pasteurii	1563222	S	15983	37520	53503	0.00039
Citrobacter rodentium	67825	S	15277	1017	16294	0.00012
Klebsiella variicola	244366	S	170039	686783	856822	0.00624
Klebsiella pneumoniae	573	S	106406	825276	931682	0.00678
Klebsiella quasipneumoniae	1463165	S	23802	54982	78784	0.00057
Klebsiella quasivariicola	2026240	S	2830	848	3678	0.00003
Klebsiella oxytoca	571	S	165456	16801	182257	0.00133
Klebsiella planticola	575	S	82837	88678	171515	0.00125
Klebsiella aerogenes	548	S	29772	3161	32933	0.00024
Klebsiella sp. WOUb02	3161071	S	4825	544	5369	0.00004
Klebsiella sp. I138	2755385	S	3869	150	4019	0.00003
Klebsiella sp. B345	2755398	S	2254	2599	4853	0.00004
Klebsiella sp. R445	2755393	S	1641	738	2379	0.00002
Klebsiella sp. R390	2755400	S	1306	1495	2801	0.00002
Klebsiella sp. MISC125	2755386	S	1106	1431	2537	0.00002
Klebsiella sp. HC6	2923366	S	1043	434	1477	0.00001
Klebsiella sp. MPUS7	2697371	S	579	5085	5664	0.00004
Klebsiella sp. A52	2834819	S	414	453	867	0.00001
Klebsiella sp. FDAARGOS_511	2488567	S	267	1692	1959	0.00001
Klebsiella sp. CTHL.F3a	2873296	S	164	768	932	0.00001
Klebsiella sp. LY	2015795	S	103	4007	4110	0.00003
Klebsiella sp. w6	3081203	S	69	1221	1290	0.00001
Klebsiella sp. P1CD1	2267618	S	65	526	591	0.00000
Klebsiella sp. DY2415	2993656	S	63	599	662	0.00000
Klebsiella sp. BDA134-6	2787706	S	52	282	334	0.00000
Klebsiella sp. R2A007	3416669	S	45	115	160	0.00000
Klebsiella sp. WP8-S18-ESBL-06	2675726	S	44	1230	1274	0.00001
Klebsiella sp. KPN54798	2897413	S	37	2353	2390	0.00002
Klebsiella sp. PL-2018	2851540	S	26	72	98	0.00000
Klebsiella sp. LTGPAF-6F	1905288	S	21	380	401	0.00000
Klebsiella sp. PCX	2686364	S	15	2312	2327	0.00002
Klebsiella sp. XY-1	2799495	S	15	230	245	0.00000
Klebsiella sp. X13	2259647	S	14	136	150	0.00000
Klebsiella sp. K4	2769349	S	14	573	587	0.00000
Klebsiella sp. ZJOU C1	3111629	S	12	380	392	0.00000
Klebsiella michiganensis	1134687	S	17292	20678	37970	0.00028
Klebsiella ornithinolytica	54291	S	8740	27196	35936	0.00026
Klebsiella huaxiensis	2153354	S	5280	1161	6441	0.00005
Klebsiella grimontii	2058152	S	4204	13682	17886	0.00013
Klebsiella electrica	1259973	S	3409	219	3628	0.00003
Klebsiella africana	2489010	S	2907	570	3477	0.00003
Klebsiella terrigena	577	S	2681	1252	3933	0.00003
Klebsiella pasteurii	2587529	S	1092	5012	6104	0.00004
Buttiauxella agrestis	82977	S	540487	23328	563815	0.00410
Buttiauxella sp. WJP83	2986951	S	108732	23414	132146	0.00096
Buttiauxella sp. 3AFRM03	2479367	S	35624	96444	132068	0.00096
Buttiauxella selenatireducens	3073902	S	121615	24833	146448	0.00107
Buttiauxella ferragutiae	82989	S	34402	104046	138448	0.00101
Enterobacter hormaechei	158836	S	66677	108818	175495	0.00128
Enterobacter cloacae	550	S	18680	4342	23022	0.00017
Enterobacter ludwigii	299767	S	16617	7957	24574	0.00018
Enterobacter roggenkampii	1812935	S	13092	2823	15915	0.00012
Enterobacter asburiae	61645	S	12269	5389	17658	0.00013
Enterobacter kobei	208224	S	10000	7643	17643	0.00013
Enterobacter cancerogenus	69218	S	7460	182	7642	0.00006
Enterobacter cloacae complex sp.	2027919	S	1584	311	1895	0.00001
Enterobacter cloacae complex sp. ECL405	2912630	S	1128	6774	7902	0.00006
Enterobacter cloacae complex sp. Mu1197	3152302	S	300	68	368	0.00000
Enterobacter cloacae complex sp. FDA-CDC-AR_0164	2077136	S	288	531	819	0.00001
Enterobacter sp. BIDMC 29	1329841	S	159	126	285	0.00000
Enterobacter cloacae complex sp. R_G8	2969431	S	132	239	371	0.00000
Enterobacter cloacae complex sp. FDA-CDC-AR_0132	2077137	S	24	57	81	0.00000
Enterobacter cloacae complex sp. ECL414	2912628	S	10	231	241	0.00000
Enterobacter sichuanensis	2071710	S	3139	156	3295	0.00002
Enterobacter chengduensis	2494701	S	3115	278	3393	0.00002
Enterobacter chuandaensis	2497875	S	2327	153	2480	0.00002
Enterobacter pasteurii	3029761	S	1151	398	1549	0.00001
Enterobacter mori	539813	S	53703	3035	56738	0.00041
Enterobacter sp. SGAir0187	2836161	S	6624	813	7437	0.00005
Enterobacter sp. RHBSTW-00994	2742676	S	4157	54	4211	0.00003
Enterobacter sp. SA197	2937860	S	3898	26	3924	0.00003
Enterobacter sp. ECC-175	3116479	S	2676	33	2709	0.00002
Enterobacter sp. T2	2707174	S	2563	4361	6924	0.00005
Enterobacter sp. CP102	2976431	S	2127	57	2184	0.00002
Enterobacter sp. JS8-1	3411633	S	1939	317	2256	0.00002
Enterobacter sp. C2	2870346	S	1668	21	1689	0.00001
Enterobacter sp. Colony194	2866201	S	1580	139	1719	0.00001
Enterobacter sp. JBIWA005	2831891	S	1288	602	1890	0.00001
Enterobacter sp. ECC-219	3116480	S	1243	45	1288	0.00001
Enterobacter sp. RHBSTW-00175	2742639	S	1210	255	1465	0.00001
Enterobacter sp. SA187	1914861	S	1084	447	1531	0.00001
Enterobacter sp. PGRG2	3104013	S	931	424	1355	0.00001
Enterobacter sp. 638	399742	S	917	107	1024	0.00001
Enterobacter sp. ECC-019	3116478	S	793	59	852	0.00001
Enterobacter sp. BNK-18	3376155	S	720	555	1275	0.00001
Enterobacter sp. ECC-249	3116481	S	465	42	507	0.00000
