Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP248.12601_R.bin.1	90.17	111.58	27.08	True	6266035	0	1357	1357	5517	5517	4617	4617	45242	45242	61.6	2.34	87.74	6112	No	No	No	18	13
STP248.12601_R.bin.10	84.89	3.08	44.44	True	4247566	0	307	307	21346	21346	13835	13835	75304	75304	44.5	2.55	91.38	3579	No	No	No	50	20
STP248.12601_R.bin.100	72.65	1.19	0.0	True	2461523	0	621	621	4516	4516	3963	3963	19403	19403	45.3	2.46	87.55	2502	No	No	No	23	12
STP248.12601_R.bin.101	31.03	2.59	50.0	False	605288	0	218	218	2801	2801	2776	2776	7830	7830	52.0	2.14	91.71	690	No	No	No	4	4
STP248.12601_R.bin.102	0.0	0.0	0.0	True	371413	0	14	14	28799	28799	26529	26529	68883	68883	53.4	0.86	91.66	307	Yes	No	No	7	6
STP248.12601_R.bin.103	60.5	0.0	0.0	True	2696353	0	396	396	9615	9615	6808	6808	43468	43468	45.6	2.25	88.18	2381	Yes	No	No	29	15
STP248.12601_R.bin.104	92.55	9.5	40.0	True	2653419	0	41	41	86701	86701	64717	64717	263433	263433	53.7	1.92	90.74	2314	No	No	No	48	21
STP248.12601_R.bin.105	0.0	0.0	0.0	True	212055	0	16	16	16031	16031	13253	13253	41579	41579	45.4	1.25	83.12	219	No	No	No	3	3
STP248.12601_R.bin.106	18.97	0.0	0.0	False	1272299	0	397	397	3346	3346	3204	3204	13962	13962	45.1	1.95	93.22	1249	No	No	No	8	5
STP248.12601_R.bin.107	98.84	1.08	0.0	True	3796731	0	35	35	184066	184066	108478	108478	364437	364437	42.8	1.41	89.28	3145	Yes	No	No	58	21
STP248.12601_R.bin.108	63.46	1.68	0.0	True	1910065	0	556	556	3728	3728	3435	3435	10727	10727	50.2	2.63	85.77	1840	No	No	No	11	8
STP248.12601_R.bin.109	96.46	0.81	50.0	True	3267959	0	203	203	24965	24965	16098	16098	116875	116875	52.5	2.88	88.95	3157	Yes	No	No	36	18
STP248.12601_R.bin.11	36.61	4.19	22.22	False	1035598	0	400	400	2658	2658	2588	2588	9535	9535	56.2	2.13	93.35	1128	No	No	No	1	1
STP248.12601_R.bin.110	40.35	0.0	0.0	True	508403	0	15	15	49412	49412	33893	33893	118629	118629	39.8	1.29	90.12	469	No	No	No	13	8
STP248.12601_R.bin.111	99.66	109.17	76.52	True	12699068	0	777	777	29097	29097	16343	16343	151126	151126	42.8	2.55	90.38	10792	Yes	No	No	146	22
STP248.12601_R.bin.112	98.85	4.02	0.0	True	5341034	0	54	54	201509	201509	98908	98908	404787	404787	45.3	2.46	89.06	4815	No	No	Yes	55	19
STP248.12601_R.bin.113	84.69	2.46	40.0	True	2197228	0	368	368	7696	7696	5970	5970	38733	38733	54.2	2.37	89.59	2219	No	No	No	18	11
STP248.12601_R.bin.114	15.65	0.0	0.0	True	2044169	0	28	28	142020	142020	73006	73006	263054	263054	36.1	1.02	81.36	2489	No	No	No	68	21
STP248.12601_R.bin.115	94.56	0.0	0.0	True	2261930	0	48	48	80713	80713	47123	47123	152813	152813	44.7	1.57	91.86	1906	Yes	No	No	40	20
STP248.12601_R.bin.116	4.17	0.0	0.0	False	208835	0	83	83	2542	2542	2516	2516	5321	5321	47.6	1.8	87.96	273	No	No	No	3	2
STP248.12601_R.bin.117	91.14	6.81	41.18	True	3054612	0	289	289	14614	14614	10569	10569	71984	71984	58.4	1.85	91.61	2963	Yes	No	No	39	19
STP248.12601_R.bin.118	95.92	0.0	0.0	True	3178001	0	44	44	119461	119461	72227	72227	271594	271594	43.5	1.32	90.46	2384	No	No	No	42	21
STP248.12601_R.bin.119	86.09	4.15	23.53	True	4167887	0	131	131	65979	65979	31815	31815	259335	259335	39.1	1.8	88.99	3407	Yes	No	No	52	20
STP248.12601_R.bin.12	95.02	1.48	0.0	True	2657791	0	210	210	17256	17256	12656	12656	82814	82814	43.0	2.12	88.49	2641	Yes	No	No	44	17
STP248.12601_R.bin.120	58.62	0.0	0.0	True	2792503	0	7	7	551084	551084	398929	398929	1087706	1087706	27.5	0.6	87.65	2613	Yes	No	No	11	7
STP248.12601_R.bin.121	64.0	13.44	34.15	True	3190066	0	858	858	4259	4259	3718	3718	17167	17167	61.8	2.32	92.56	3273	Yes	No	No	15	10
STP248.12601_R.bin.122	100.0	942.92	3.58	False	53136530	0	15874	15874	3567	3567	3347	3347	293321	293321	36.9	3.27	86.43	61612	Yes	No	Yes	499	23
STP248.12601_R.bin.123	87.06	2.82	0.0	True	1818025	0	365	365	6229	6229	4980	4980	24274	24274	38.7	2.34	86.79	1782	No	No	No	29	15
STP248.12601_R.bin.124	0.0	0.0	0.0	False	303165	0	66	66	5369	5369	4593	4593	16639	16639	52.8	1.24	93.41	263	No	No	No	0	0
STP248.12601_R.bin.125	95.16	0.69	33.33	True	3690719	0	157	157	33833	33833	23507	23507	144335	144335	61.2	2.01	86.86	3103	No	No	Yes	48	23
STP248.12601_R.bin.126	92.12	3.69	20.0	True	2164366	0	169	169	19361	19361	12806	12806	101235	101235	52.0	2.44	89.98	2162	No	No	No	36	16
STP248.12601_R.bin.127	78.51	54.43	91.96	True	4458345	0	1041	1041	4945	4945	4282	4282	46818	46818	53.6	3.2	90.81	4783	Yes	No	No	36	12
STP248.12601_R.bin.128	95.3	4.7	77.78	True	2911282	0	32	32	159190	159190	90977	90977	281675	281675	38.8	1.46	88.03	2710	Yes	No	Yes	49	21
STP248.12601_R.bin.129	4.17	0.0	0.0	True	370045	0	132	132	3051	3051	2803	2803	7481	7481	50.8	1.62	92.42	392	No	No	No	0	0
STP248.12601_R.bin.13	91.71	2.69	0.0	True	3033057	0	454	454	9333	9333	6680	6680	42561	42561	55.3	2.78	91.27	2911	Yes	No	Yes	32	16
STP248.12601_R.bin.130	18.29	0.0	0.0	True	726970	0	7	7	147647	147647	103852	103852	210103	210103	42.5	0.54	82.5	574	No	No	No	10	8
STP248.12601_R.bin.131	20.69	1.72	0.0	False	780395	0	305	305	2603	2603	2558	2558	8380	8380	58.9	2.45	91.99	912	No	No	No	0	0
STP248.12601_R.bin.132	64.24	0.0	0.0	True	2055155	0	38	38	108190	108190	54083	54083	257474	257474	54.2	1.78	89.61	1932	Yes	No	No	34	20
STP248.12601_R.bin.133	10.34	0.0	0.0	True	281857	0	3	3	153275	153275	93952	93952	153275	153275	28.8	0.32	90.19	244	Yes	No	No	0	0
