Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP294.12602_R.bin.102	91.02	2.96	23.08	True	2830402	0	491	491	7462	7462	5764	5764	33537	33537	52.7	3.73	85.5	2770	No	No	No	22	14
STP294.12602_R.bin.107	92.31	5.79	15.38	True	2867465	0	396	396	10132	10132	7241	7241	40486	40486	35.6	1.47	90.52	3000	Yes	No	Yes	41	21
STP294.12602_R.bin.114	94.77	2.0	22.22	True	1784865	0	227	227	10945	10945	7862	7862	29156	29156	38.8	1.58	93.81	1757	No	No	No	22	17
STP294.12602_R.bin.115	96.62	1.35	0.0	True	2919316	0	52	52	85933	85933	56140	56140	281445	281445	44.9	1.33	90.44	2309	Yes	No	No	47	22
STP294.12602_R.bin.124	97.96	0.68	0.0	True	2343691	0	25	25	120396	120396	93747	93747	223132	223132	50.2	0.94	91.66	2018	Yes	Yes	Yes	47	22
STP294.12602_R.bin.131	56.9	3.45	0.0	True	3600911	0	136	136	63730	63730	26477	26477	232278	232278	41.3	1.41	90.4	2904	Yes	No	No	38	18
STP294.12602_R.bin.14	83.06	1.61	0.0	True	1769159	0	132	132	25453	25453	13402	13402	167051	167051	33.6	1.58	85.3	1636	Yes	No	Yes	15	9
STP294.12602_R.bin.143	98.67	1.44	0.0	True	2174450	0	26	26	172096	172096	83632	83632	499459	499459	30.0	1.47	90.45	1974	Yes	No	No	37	21
STP294.12602_R.bin.144	93.23	0.17	0.0	True	2758256	0	131	131	30397	30397	21055	21055	98232	98232	45.7	1.67	93.56	2357	No	No	No	36	18
STP294.12602_R.bin.146	98.08	0.96	0.0	True	1980071	0	21	21	175636	175636	94289	94289	478258	478258	45.8	1.8	84.63	1648	Yes	No	No	39	20
STP294.12602_R.bin.152	94.34	2.43	40.0	True	2930734	0	374	374	11860	11860	7836	7836	34839	34839	43.8	2.69	88.77	2897	Yes	No	No	34	21
STP294.12602_R.bin.156	96.98	0.0	0.0	True	3068855	0	119	119	37769	37769	25788	25788	116192	116192	52.3	1.7	82.83	2619	Yes	No	No	40	20
STP294.12602_R.bin.18	98.88	1.35	0.0	True	1804488	0	73	73	71568	71568	24719	24719	241404	241404	34.1	2.07	90.81	1722	Yes	No	No	43	22
STP294.12602_R.bin.23	54.31	0.48	0.0	True	1371065	0	17	17	130551	130551	80650	80650	223721	223721	39.9	0.51	91.9	1090	No	No	No	26	16
STP294.12602_R.bin.28	91.64	5.37	0.0	True	3803343	0	262	262	30541	30541	14516	14516	134570	134570	53.2	1.74	87.48	3672	Yes	No	No	31	16
STP294.12602_R.bin.38	83.29	4.45	0.0	True	1662808	0	357	357	5596	5596	4657	4657	22620	22620	43.7	2.2	93.0	1971	Yes	No	No	25	16
STP294.12602_R.bin.39	82.42	2.96	28.57	True	1949677	0	348	348	7240	7240	5602	5602	34523	34523	41.6	1.83	93.7	1694	No	No	No	26	17
STP294.12602_R.bin.4	79.64	0.56	50.0	True	3728528	0	101	101	66732	66732	36916	36916	148956	148956	47.0	2.04	90.81	3034	Yes	No	No	41	20
STP294.12602_R.bin.41	89.98	3.15	40.0	True	2091566	0	163	163	16893	16893	12831	12831	127843	127843	27.4	1.5	89.5	2132	Yes	No	No	27	15
STP294.12602_R.bin.43	90.51	1.48	0.0	True	3104995	0	97	97	62135	62135	32010	32010	269262	269262	41.5	1.58	89.04	3018	Yes	No	No	57	21
STP294.12602_R.bin.52	50.0	1.72	0.0	True	1623831	0	482	482	3603	3603	3368	3368	14369	14369	50.9	2.56	89.61	1814	Yes	No	No	11	9
STP294.12602_R.bin.58	98.12	0.83	0.0	True	2860679	0	290	290	15540	15540	9864	9864	48877	48877	50.6	2.52	87.03	2739	No	No	No	23	14
STP294.12602_R.bin.83	79.3	0.0	0.0	True	3633603	0	291	291	17381	17381	12486	12486	70595	70595	48.9	2.01	92.87	3261	No	No	No	29	16
STP294.12602_R.bin.84	84.04	0.7	0.0	True	1575066	0	318	318	5984	5984	4953	4953	26203	26203	46.2	3.27	91.02	1589	No	No	Yes	27	16
STP294.12602_R.bin.86	68.73	3.45	0.0	True	1760455	0	506	506	3942	3942	3479	3479	14229	14229	58.6	3.04	90.2	1994	No	No	Yes	15	12
STP294.12602_R.bin.90	87.78	0.45	0.0	True	1845315	0	306	306	7570	7570	6030	6030	50839	50839	38.1	2.19	82.92	1676	No	Yes	No	16	13
STP294.12602_R.bin.96	95.93	5.74	17.65	True	2104711	0	67	67	47914	47914	31413	31413	109248	109248	45.9	1.3	87.8	1811	No	No	No	31	17
