Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP294.12602_R.bin.1	0.31	0.0	0.0	False	249110	0	1	1	249110	249110	249110	249110	249110	249110	46.2	0.0	94.23	225	No	No	No	2	2
STP294.12602_R.bin.10	27.59	0.0	0.0	False	838644	0	8	8	186030	186030	104830	104830	309434	309434	41.4	1.53	88.0	837	Yes	No	No	3	3
STP294.12602_R.bin.100	84.56	3.36	83.33	False	2377846	0	312	312	10535	10535	7621	7621	34046	34046	51.8	2.18	85.41	2309	No	No	Yes	33	19
STP294.12602_R.bin.101	0.31	0.0	0.0	True	269699	0	29	29	14711	14711	9299	9299	34768	34768	37.8	1.52	92.77	273	No	No	No	0	0
STP294.12602_R.bin.102	91.02	2.96	23.08	True	2830402	0	491	491	7462	7462	5764	5764	33537	33537	52.7	3.73	85.5	2770	No	No	No	22	14
STP294.12602_R.bin.103	0.0	0.0	0.0	False	225768	0	7	7	71656	71656	32252	32252	111460	111460	29.5	1.82	89.13	329	No	No	No	47	20
STP294.12602_R.bin.104	0.94	0.0	0.0	False	215402	0	18	18	132636	132636	11966	11966	132636	132636	41.0	2.09	87.66	288	No	No	No	1	1
STP294.12602_R.bin.105	97.61	1.45	20.0	False	2032416	0	88	88	39441	39441	23095	23095	94292	94292	47.2	1.61	92.79	1876	Yes	No	No	36	19
STP294.12602_R.bin.106	0.0	0.0	0.0	True	353550	0	31	31	30157	30157	11404	11404	70778	70778	40.6	1.24	88.15	388	No	No	No	3	3
STP294.12602_R.bin.107	92.31	5.79	15.38	True	2867465	0	396	396	10132	10132	7241	7241	40486	40486	35.6	1.47	90.52	3000	Yes	No	Yes	41	21
STP294.12602_R.bin.108	88.57	0.29	0.0	False	2421711	0	368	368	8168	8168	6580	6580	38282	38282	53.5	2.09	89.36	2300	Yes	Yes	Yes	36	21
STP294.12602_R.bin.109	97.24	0.38	33.33	False	3917180	0	128	128	49598	49598	30602	30602	190702	190702	48.1	2.44	91.51	3225	Yes	No	No	66	21
STP294.12602_R.bin.11	84.32	3.28	20.0	False	3428078	0	689	689	6396	6396	4975	4975	26391	26391	69.5	2.46	89.64	3852	No	No	Yes	41	19
STP294.12602_R.bin.110	56.03	0.0	0.0	False	2123900	0	133	133	25277	25277	15969	15969	63164	63164	44.2	1.69	89.81	1788	No	No	No	24	14
STP294.12602_R.bin.111	83.78	6.9	50.0	False	2401175	0	126	126	29466	29466	19056	19056	73668	73668	57.5	2.06	88.29	2022	No	No	Yes	32	17
STP294.12602_R.bin.112	49.64	0.0	0.0	False	915018	0	10	10	165204	165204	91501	91501	433783	433783	41.8	1.06	90.19	937	No	No	No	29	19
STP294.12602_R.bin.113	12.5	4.17	0.0	False	2198785	0	669	669	3422	3422	3286	3286	15781	15781	45.9	2.39	93.02	2119	Yes	No	No	9	7
STP294.12602_R.bin.114	94.77	2.0	22.22	True	1784865	0	227	227	10945	10945	7862	7862	29156	29156	38.8	1.58	93.81	1757	No	No	No	22	17
STP294.12602_R.bin.115	96.62	1.35	0.0	True	2919316	0	52	52	85933	85933	56140	56140	281445	281445	44.9	1.33	90.44	2309	Yes	No	No	47	22
STP294.12602_R.bin.116	90.6	2.01	0.0	False	2295393	0	158	158	21628	21628	14527	14527	92602	92602	55.8	2.14	85.94	2120	No	No	No	26	15
STP294.12602_R.bin.117	13.79	0.0	0.0	False	469491	0	192	192	2507	2507	2445	2445	5887	5887	47.3	1.92	88.37	545	No	No	No	2	2
STP294.12602_R.bin.118	94.5	3.73	5.88	False	1738119	0	277	277	8239	8239	6274	6274	29953	29953	47.2	1.7	93.46	1714	Yes	No	No	21	13
STP294.12602_R.bin.119	15.52	0.0	0.0	False	438566	0	195	195	2251	2251	2249	2249	5686	5686	58.4	2.18	92.3	513	No	No	No	1	1
STP294.12602_R.bin.12	40.52	1.72	100.0	False	1141964	0	429	429	2650	2650	2661	2661	11866	11866	43.0	2.05	89.23	1348	No	No	No	3	3
STP294.12602_R.bin.120	22.41	1.72	0.0	True	603978	0	249	249	2477	2477	2425	2425	6958	6958	41.3	1.96	89.37	697	No	No	No	2	1
STP294.12602_R.bin.121	28.1	0.0	0.0	False	628519	0	231	231	2771	2771	2720	2720	8240	8240	43.7	1.75	93.27	760	No	No	No	7	7
STP294.12602_R.bin.122	93.02	2.6	50.0	False	3579805	0	451	451	10873	10873	7937	7937	34400	34400	57.5	2.98	87.15	3171	No	No	No	41	19
STP294.12602_R.bin.123	34.09	3.45	50.0	False	652170	0	236	236	2747	2747	2763	2763	11423	11423	56.6	1.97	93.91	754	No	No	No	0	0
STP294.12602_R.bin.124	97.96	0.68	0.0	True	2343691	0	25	25	120396	120396	93747	93747	223132	223132	50.2	0.94	91.66	2018	Yes	Yes	Yes	47	22
STP294.12602_R.bin.125	4.17	0.0	0.0	False	342918	0	14	14	260663	260663	24494	24494	260663	260663	35.1	1.07	90.93	354	No	No	No	1	1
STP294.12602_R.bin.126	65.28	0.0	0.0	False	2829254	0	13	13	290422	290422	217634	217634	685089	685089	42.8	1.14	88.22	2604	No	No	Yes	33	18
STP294.12602_R.bin.127	12.28	0.0	0.0	False	447527	0	223	223	1959	1959	2006	2006	4269	4269	62.6	2.21	93.05	517	No	No	No	0	0
STP294.12602_R.bin.128	21.9	0.0	0.0	True	214448	0	107	107	1933	1933	2004	2004	3724	3724	39.8	1.9	90.9	266	No	No	No	0	0
STP294.12602_R.bin.129	10.34	0.0	0.0	True	589223	0	225	225	2746	2746	2618	2618	8222	8222	50.5	1.85	92.52	614	No	No	No	0	0
STP294.12602_R.bin.13	77.99	16.77	10.0	False	3864779	0	1072	1072	4054	4054	3605	3605	21022	21022	40.8	1.88	84.93	4193	Yes	No	No	30	15
STP294.12602_R.bin.130	28.45	0.0	0.0	False	1348853	0	406	406	3495	3495	3322	3322	19719	19719	59.9	1.95	94.77	1409	No	No	No	7	5
STP294.12602_R.bin.131	56.9	3.45	0.0	True	3600911	0	136	136	63730	63730	26477	26477	232278	232278	41.3	1.41	90.4	2904	Yes	No	No	38	18
STP294.12602_R.bin.132	98.93	0.0	0.0	False	2559627	0	32	32	124362	124362	79988	79988	294526	294526	45.7	1.18	90.85	2138	No	No	No	41	21
STP294.12602_R.bin.133	26.9	0.0	0.0	False	794589	0	357	357	2135	2135	2225	2225	9482	9482	59.2	2.27	92.28	1011	No	No	No	0	0
STP294.12602_R.bin.134	48.94	1.19	0.0	False	1031797	0	385	385	2746	2746	2679	2679	10921	10921	40.1	1.58	91.73	1085	No	No	No	5	4
STP294.12602_R.bin.135	10.34	0.0	0.0	False	575062	0	89	89	9389	9389	6461	6461	95103	95103	45.7	2.12	86.22	604	Yes	No	No	8	7
STP294.12602_R.bin.136	25.86	0.0	0.0	True	738489	0	244	244	3209	3209	3026	3026	17331	17331	56.6	1.91	93.87	842	No	No	No	0	0
STP294.12602_R.bin.137	90.32	1.49	0.0	False	2842604	0	37	37	207910	207910	76827	76827	383604	383604	36.3	1.64	80.4	2447	Yes	No	No	21	14
STP294.12602_R.bin.138	2.9	0.0	0.0	True	235633	0	101	101	2414	2414	2333	2333	5200	5200	56.2	1.67	88.56	300	No	No	No	1	1
STP294.12602_R.bin.139	0.0	0.0	0.0	True	473564	0	99	99	6843	6843	4783	4783	32827	32827	41.7	2.29	91.77	475	No	No	No	5	4
STP294.12602_R.bin.14	83.06	1.61	0.0	True	1769159	0	132	132	25453	25453	13402	13402	167051	167051	33.6	1.58	85.3	1636	Yes	No	Yes	15	9
STP294.12602_R.bin.140	93.97	37.61	22.43	False	3696915	0	763	763	6255	6255	4845	4845	34109	34109	41.7	2.38	88.46	4059	No	No	No	36	16
STP294.12602_R.bin.141	42.25	0.22	0.0	False	1054783	0	361	361	2966	2966	2921	2921	9505	9505	49.8	2.42	90.47	1233	No	No	No	1	1
STP294.12602_R.bin.142	49.28	0.0	0.0	False	617776	0	7	7	392209	392209	88253	88253	392209	392209	43.2	0.31	92.12	586	No	No	No	12	8
STP294.12602_R.bin.143	98.67	1.44	0.0	True	2174450	0	26	26	172096	172096	83632	83632	499459	499459	30.0	1.47	90.45	1974	Yes	No	No	37	21
STP294.12602_R.bin.144	93.23	0.17	0.0	True	2758256	0	131	131	30397	30397	21055	21055	98232	98232	45.7	1.67	93.56	2357	No	No	No	36	18
STP294.12602_R.bin.145	99.19	1.1	0.0	False	3428228	0	82	82	69127	69127	41807	41807	225228	225228	53.9	2.28	89.49	3101	Yes	No	No	40	21
STP294.12602_R.bin.146	98.08	0.96	0.0	True	1980071	0	21	21	175636	175636	94289	94289	478258	478258	45.8	1.8	84.63	1648	Yes	No	No	39	20
STP294.12602_R.bin.147	87.13	110.69	68.63	False	9690529	0	389	389	56788	56788	24911	24911	302176	302176	43.3	2.22	90.89	7814	Yes	No	No	121	22
STP294.12602_R.bin.148	0.34	0.0	0.0	False	233648	0	3	3	134523	134523	77882	77882	134523	134523	44.4	0.67	96.09	291	No	No	No	2	2
STP294.12602_R.bin.149	78.85	2.68	0.0	False	2904635	0	754	754	4359	4359	3852	3852	22813	22813	53.7	3.33	86.14	2956	No	No	No	16	10
STP294.12602_R.bin.15	89.84	0.67	100.0	False	2729874	0	244	244	16997	16997	11188	11188	59156	59156	35.7	1.46	86.49	2714	No	No	No	22	11
STP294.12602_R.bin.150	30.96	3.45	0.0	False	1880882	0	619	619	3149	3149	3038	3038	21678	21678	61.8	2.41	91.29	2216	No	No	No	9	6
STP294.12602_R.bin.151	45.48	0.71	0.0	False	1168690	0	23	23	81088	81088	50812	50812	167147	167147	38.9	1.07	91.4	971	Yes	No	No	14	10
STP294.12602_R.bin.152	94.34	2.43	40.0	True	2930734	0	374	374	11860	11860	7836	7836	34839	34839	43.8	2.69	88.77	2897	Yes	No	No	34	21
STP294.12602_R.bin.153	0.16	0.0	0.0	False	262966	0	6	6	61540	61540	43827	43827	82121	82121	35.0	0.94	93.87	245	No	No	No	0	0
STP294.12602_R.bin.154	79.84	9.59	81.82	False	2619784	0	475	475	6999	6999	5515	5515	73041	73041	53.9	2.77	89.36	2750	No	No	No	30	15
STP294.12602_R.bin.155	4.17	0.0	0.0	False	594190	0	75	75	10590	10590	7922	7922	81755	81755	38.5	1.59	86.94	765	Yes	Yes	Yes	7	4
STP294.12602_R.bin.156	96.98	0.0	0.0	True	3068855	0	119	119	37769	37769	25788	25788	116192	116192	52.3	1.7	82.83	2619	Yes	No	No	40	20
STP294.12602_R.bin.157	89.13	1.56	28.57	False	1951511	0	200	200	13203	13203	9757	9757	71575	71575	31.1	2.07	91.28	1784	Yes	No	No	25	13
STP294.12602_R.bin.158	0.14	0.07	0.0	True	228040	0	16	16	25321	25321	14252	14252	57867	57867	45.7	1.32	89.68	219	No	No	No	3	3
STP294.12602_R.bin.159	0.0	0.0	0.0	False	219612	0	122	122	1726	1726	1800	1800	3675	3675	68.8	1.98	91.8	309	No	No	No	1	1
STP294.12602_R.bin.16	80.54	0.06	0.0	False	1807179	0	15	15	186666	186666	120478	120478	316666	316666	38.8	0.84	89.34	1720	Yes	No	No	35	20
STP294.12602_R.bin.17	0.16	0.0	0.0	False	309997	0	2	2	211969	211969	154998	154998	211969	211969	31.5	0.18	89.74	339	No	No	No	1	1
STP294.12602_R.bin.18	98.88	1.35	0.0	True	1804488	0	73	73	71568	71568	24719	24719	241404	241404	34.1	2.07	90.81	1722	Yes	No	No	43	22
STP294.12602_R.bin.19	94.83	8.62	5.88	False	3424401	0	440	440	10995	10995	7782	7782	58726	58726	38.3	2.06	83.12	3420	Yes	No	Yes	64	21
STP294.12602_R.bin.2	81.6	6.7	75.0	False	1835646	0	360	360	6435	6435	5099	5099	24104	24104	51.8	2.38	91.16	1844	No	No	No	18	11
STP294.12602_R.bin.20	91.95	0.67	0.0	False	2075882	0	39	39	111703	111703	53227	53227	228261	228261	49.7	1.12	88.87	1813	Yes	No	No	31	16
STP294.12602_R.bin.21	77.94	0.68	50.0	False	2204754	0	601	601	4157	4157	3668	3668	17334	17334	55.4	2.86	89.18	2293	No	No	No	19	11
STP294.12602_R.bin.22	86.83	6.9	76.47	False	1877771	0	75	75	37006	37006	25036	25036	114494	114494	47.6	1.89	90.34	1579	Yes	No	No	35	18
STP294.12602_R.bin.23	54.31	0.48	0.0	True	1371065	0	17	17	130551	130551	80650	80650	223721	223721	39.9	0.51	91.9	1090	No	No	No	26	16
STP294.12602_R.bin.24	0.31	0.0	0.0	True	222870	0	34	34	7782	7782	6555	6555	29486	29486	34.3	1.62	92.68	255	No	No	No	1	1
STP294.12602_R.bin.25	87.01	1.11	33.33	False	2686444	0	429	429	8449	8449	6262	6262	34927	34927	40.4	1.88	93.61	2489	Yes	No	Yes	33	17
STP294.12602_R.bin.26	64.3	1.78	16.67	False	1389382	0	458	458	3192	3192	3033	3033	10508	10508	53.2	2.28	92.19	1544	No	No	No	13	9
STP294.12602_R.bin.27	0.0	0.0	0.0	False	536062	0	147	147	4171	4171	3646	3646	13702	13702	47.9	1.69	87.05	635	No	No	No	3	1
STP294.12602_R.bin.28	91.64	5.37	0.0	True	3803343	0	262	262	30541	30541	14516	14516	134570	134570	53.2	1.74	87.48	3672	Yes	No	No	31	16
STP294.12602_R.bin.29	87.86	75.44	10.96	False	5432006	0	1441	1441	4402	4402	3769	3769	19372	19372	36.3	1.64	89.81	6030	Yes	No	No	39	15
STP294.12602_R.bin.3	98.24	1.77	0.0	False	2284369	0	22	22	204928	204928	103834	103834	374053	374053	40.8	1.43	92.32	1917	Yes	No	No	48	21
STP294.12602_R.bin.30	95.69	0.48	0.0	False	2059280	0	59	59	59969	59969	34903	34903	142754	142754	53.4	1.33	93.4	1797	Yes	Yes	No	41	21
STP294.12602_R.bin.31	51.55	0.0	0.0	False	2328816	0	655	655	3917	3917	3555	3555	15400	15400	48.5	2.7	92.79	2362	No	No	No	13	9
STP294.12602_R.bin.32	4.17	0.0	0.0	False	448846	0	149	149	3337	3337	3012	3012	8862	8862	45.0	1.67	92.65	443	No	No	No	0	0
STP294.12602_R.bin.33	4.17	0.0	0.0	False	837702	0	131	131	10250	10250	6394	6394	70440	70440	36.6	1.69	87.34	968	Yes	No	No	7	4
STP294.12602_R.bin.34	9.09	0.0	0.0	False	447198	0	213	213	2038	2038	2099	2099	4752	4752	50.5	2.51	94.78	549	No	No	No	4	3
STP294.12602_R.bin.35	93.39	1.12	0.0	False	2456809	0	202	202	17027	17027	12162	12162	60046	60046	52.4	2.26	86.58	2190	Yes	No	No	43	22
STP294.12602_R.bin.36	99.41	2.92	13.33	False	3483123	0	254	254	22862	22862	13713	13713	104901	104901	59.7	2.76	87.52	2977	Yes	No	No	48	21
STP294.12602_R.bin.37	98.88	2.25	0.0	False	1582618	0	76	76	36110	36110	20823	20823	93852	93852	36.5	1.7	90.87	1489	Yes	No	No	48	22
STP294.12602_R.bin.38	83.29	4.45	0.0	True	1662808	0	357	357	5596	5596	4657	4657	22620	22620	43.7	2.2	93.0	1971	Yes	No	No	25	16
STP294.12602_R.bin.39	82.42	2.96	28.57	True	1949677	0	348	348	7240	7240	5602	5602	34523	34523	41.6	1.83	93.7	1694	No	No	No	26	17
STP294.12602_R.bin.4	79.64	0.56	50.0	True	3728528	0	101	101	66732	66732	36916	36916	148956	148956	47.0	2.04	90.81	3034	Yes	No	No	41	20
STP294.12602_R.bin.40	95.24	14.69	5.71	False	4031478	0	465	465	12564	12564	8669	8669	45834	45834	53.1	3.25	87.53	3886	Yes	No	No	49	17
STP294.12602_R.bin.41	89.98	3.15	40.0	True	2091566	0	163	163	16893	16893	12831	12831	127843	127843	27.4	1.5	89.5	2132	Yes	No	No	27	15
STP294.12602_R.bin.42	93.13	136.63	83.58	False	13480691	0	971	971	25515	25515	13883	13883	170774	170774	52.4	2.29	88.72	13116	Yes	No	No	155	21
STP294.12602_R.bin.43	90.51	1.48	0.0	True	3104995	0	97	97	62135	62135	32010	32010	269262	269262	41.5	1.58	89.04	3018	Yes	No	No	57	21
STP294.12602_R.bin.44	46.59	9.54	0.0	True	19345047	0	194	194	165253	165253	99716	99716	529657	529657	43.5	2.58	71.66	27825	Yes	No	No	82	21
STP294.12602_R.bin.45	76.28	3.24	57.14	False	2072101	0	629	629	3684	3684	3294	3294	16958	16958	55.9	2.95	89.75	2348	No	No	Yes	14	11
STP294.12602_R.bin.46	89.89	80.71	17.41	False	8807717	0	2696	2696	3551	3551	3266	3266	26797	26797	42.2	2.1	90.87	10009	Yes	No	No	58	20
STP294.12602_R.bin.47	0.0	0.0	0.0	False	237118	0	16	16	23859	23859	14819	14819	41026	41026	22.7	0.98	0.46	7	No	No	No	0	0
