Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP572.12604_R.bin.1	64.89	1.37	0.0	False	1320107	0	426	426	3467	3467	3098	3098	10966	10966	41.7	2.04	90.93	1508	No	No	No	16	11
STP572.12604_R.bin.10	86.04	1.28	0.0	True	1923773	0	205	205	14579	14579	9384	9384	48274	48274	36.7	1.57	91.74	1988	No	No	No	30	19
STP572.12604_R.bin.100	87.23	0.81	0.0	True	2105809	0	37	37	80670	80670	56913	56913	258111	258111	45.8	1.37	91.31	1696	No	Yes	Yes	39	18
STP572.12604_R.bin.101	89.7	0.31	0.0	True	2344283	0	43	43	105716	105716	54518	54518	279621	279621	41.6	1.41	91.56	1992	Yes	No	No	39	19
STP572.12604_R.bin.102	97.85	0.0	0.0	True	1718962	0	25	25	127733	127733	68758	68758	257891	257891	37.3	0.68	90.46	1694	No	No	No	39	20
STP572.12604_R.bin.103	99.05	1.19	50.0	True	2388272	0	151	151	23330	23330	15816	15816	83957	83957	45.4	2.13	88.08	2089	No	No	No	35	19
STP572.12604_R.bin.104	4.17	0.0	0.0	True	366559	0	139	139	2764	2764	2637	2637	9319	9319	54.9	2.35	92.9	396	No	No	No	5	5
STP572.12604_R.bin.105	29.66	0.0	0.0	True	913723	0	16	16	95931	95931	57107	57107	138708	138708	47.1	0.64	91.03	779	Yes	No	No	14	10
STP572.12604_R.bin.106	89.58	2.85	60.0	True	2726676	0	363	363	11503	11503	7511	7511	57486	57486	45.8	3.06	91.73	2399	Yes	No	No	26	15
STP572.12604_R.bin.107	18.89	0.16	100.0	False	961836	0	476	476	1987	1987	2020	2020	5699	5699	69.4	1.79	92.97	1257	No	No	No	11	10
STP572.12604_R.bin.108	98.56	1.2	0.0	True	2232689	0	25	25	115303	115303	89307	89307	230319	230319	54.2	1.65	90.34	1877	No	No	Yes	38	21
STP572.12604_R.bin.109	92.39	0.0	0.0	True	2345059	0	147	147	25064	25064	15952	15952	82473	82473	39.6	1.64	90.53	2346	Yes	No	Yes	36	19
STP572.12604_R.bin.11	0.46	0.46	0.0	True	288266	0	15	15	29685	29685	19217	19217	47763	47763	40.4	1.76	89.15	266	No	No	No	0	0
STP572.12604_R.bin.110	93.49	0.05	66.67	True	2213341	0	39	39	114665	114665	56752	56752	255856	255856	44.4	1.22	91.48	2059	No	No	No	26	13
STP572.12604_R.bin.111	3.45	0.0	0.0	True	252018	0	2	2	136596	136596	126009	126009	136596	136596	45.7	0.49	90.5	211	No	No	No	7	6
STP572.12604_R.bin.112	93.4	0.0	0.0	True	1520234	0	34	34	89861	89861	44712	44712	176877	176877	27.9	1.39	91.41	1563	Yes	No	No	32	22
STP572.12604_R.bin.12	85.52	68.97	75.0	True	6640941	0	378	378	32014	32014	17568	17568	111873	111873	46.1	2.73	88.43	5628	Yes	No	No	81	21
STP572.12604_R.bin.13	1.72	0.0	0.0	True	638199	0	318	318	1972	1972	2006	2006	3846	3846	64.6	2.4	90.97	796	No	No	No	1	1
STP572.12604_R.bin.14	41.43	10.0	30.0	False	1889394	0	898	898	2068	2068	2104	2104	5819	5819	61.7	2.53	94.87	2084	No	No	No	2	2
STP572.12604_R.bin.15	96.56	0.0	0.0	True	1597831	0	18	18	123881	123881	88768	88768	300557	300557	43.9	0.82	91.43	1383	Yes	Yes	Yes	46	22
STP572.12604_R.bin.16	65.78	0.67	100.0	True	1009424	0	19	19	99277	99277	53127	53127	203331	203331	34.8	1.13	88.51	920	Yes	Yes	No	44	22
STP572.12604_R.bin.17	8.33	0.0	0.0	True	360788	0	14	14	40325	40325	25770	25770	98348	98348	28.1	1.01	82.7	348	Yes	No	No	17	11
STP572.12604_R.bin.18	84.67	5.23	37.84	True	5600454	0	725	725	11682	11682	7724	7724	62172	62172	43.4	2.21	90.4	4875	Yes	No	Yes	45	19
STP572.12604_R.bin.19	65.52	50.86	23.68	True	3270605	0	65	65	184580	184580	50317	50317	420309	420309	29.2	1.27	87.76	3123	Yes	No	Yes	13	7
STP572.12604_R.bin.2	96.63	0.48	0.0	True	2708408	0	239	239	16788	16788	11332	11332	58907	58907	58.2	2.46	85.32	2133	Yes	No	No	29	16
STP572.12604_R.bin.20	95.27	2.7	20.0	True	2542657	0	49	49	94675	94675	51890	51890	256755	256755	46.6	1.29	91.81	2099	Yes	No	Yes	39	21
STP572.12604_R.bin.21	93.55	0.0	0.0	True	2107363	0	53	53	52976	52976	39761	39761	210091	210091	34.2	1.69	91.34	1831	Yes	No	No	32	21
STP572.12604_R.bin.22	93.53	0.34	0.0	True	2634706	0	247	247	14688	14688	10666	10666	40248	40248	61.1	2.71	87.71	2430	Yes	No	Yes	37	16
STP572.12604_R.bin.23	26.9	6.9	0.0	True	1299728	0	35	35	99953	99953	37135	37135	194208	194208	29.6	0.97	87.1	1207	Yes	No	No	74	20
STP572.12604_R.bin.24	77.43	1.71	100.0	True	2597796	0	250	250	13493	13493	10391	10391	56370	56370	44.8	1.51	92.26	2459	No	No	Yes	28	14
STP572.12604_R.bin.25	0.31	0.0	0.0	True	249997	0	5	5	137386	137386	49999	49999	137386	137386	34.6	0.79	91.5	256	No	No	No	1	1
STP572.12604_R.bin.26	96.01	0.7	0.0	True	2258492	0	52	52	84063	84063	43432	43432	133486	133486	42.6	1.25	91.04	2277	Yes	No	No	46	20
STP572.12604_R.bin.27	71.36	0.22	100.0	True	1334102	0	29	29	62971	62971	46003	46003	144297	144297	52.8	1.14	90.27	1330	No	No	No	15	10
STP572.12604_R.bin.28	95.97	3.24	17.65	True	3530111	0	169	169	41074	41074	20888	20888	162430	162430	49.1	2.48	83.78	3337	Yes	No	No	42	18
STP572.12604_R.bin.29	88.37	0.89	100.0	True	2815939	0	152	152	25958	25958	18525	18525	108417	108417	53.9	2.4	90.53	2671	Yes	No	Yes	38	18
STP572.12604_R.bin.3	67.42	0.9	0.0	True	1518905	0	470	470	3605	3605	3231	3231	12708	12708	40.6	1.84	93.62	1482	No	No	No	15	12
STP572.12604_R.bin.30	53.69	1.34	0.0	False	1615249	0	514	514	3334	3334	3142	3142	10793	10793	51.0	2.89	90.04	1851	Yes	No	No	8	7
STP572.12604_R.bin.31	100.0	0.0	0.0	True	2081411	0	60	60	50025	50025	34690	34690	226619	226619	34.8	1.9	88.7	1990	No	No	No	40	21
STP572.12604_R.bin.32	0.0	0.0	0.0	True	402537	0	82	82	5456	5456	4908	4908	18697	18697	52.6	1.81	93.8	326	No	No	No	7	6
STP572.12604_R.bin.33	55.17	4.31	0.0	False	2714047	0	977	977	2840	2840	2777	2777	18281	18281	44.2	2.5	92.08	2799	No	No	No	14	9
STP572.12604_R.bin.34	95.16	0.0	0.0	True	1842853	0	29	29	135644	135644	63546	63546	439894	439894	36.3	0.87	86.22	1666	Yes	Yes	Yes	30	17
STP572.12604_R.bin.35	98.92	1.67	18.18	True	4699147	0	84	84	96267	96267	55942	55942	292702	292702	43.6	2.04	90.06	3872	Yes	No	No	52	21
STP572.12604_R.bin.36	75.21	1.34	50.0	True	1853300	0	264	264	9189	9189	7020	7020	30755	30755	43.5	2.06	89.61	1862	No	No	No	17	12
STP572.12604_R.bin.37	88.23	3.37	42.86	True	2354279	0	255	255	11980	11980	9232	9232	60064	60064	58.2	2.15	90.83	2038	Yes	No	No	26	15
STP572.12604_R.bin.38	21.0	0.16	0.0	True	614151	0	294	294	2006	2006	2088	2088	5688	5688	63.8	2.67	94.34	725	No	No	No	0	0
STP572.12604_R.bin.39	17.24	0.0	0.0	True	898808	0	19	19	70635	70635	47305	47305	175644	175644	49.7	1.43	89.2	835	No	No	No	21	13
STP572.12604_R.bin.4	100.0	5.8	0.0	True	2873696	0	30	30	133049	133049	95789	95789	354348	354348	58.2	2.16	91.92	2347	Yes	No	No	50	20
STP572.12604_R.bin.40	100.0	1.33	0.0	True	1654022	0	18	18	172089	172089	91890	91890	320120	320120	35.7	1.34	89.72	1548	Yes	No	No	34	20
STP572.12604_R.bin.41	94.5	0.67	0.0	True	3143463	0	213	213	21070	21070	14758	14758	110089	110089	43.4	2.08	79.53	2777	Yes	No	No	37	19
STP572.12604_R.bin.42	65.32	0.0	0.0	True	1516774	0	20	20	122765	122765	75838	75838	247350	247350	48.3	1.46	93.71	1132	No	No	No	25	17
STP572.12604_R.bin.43	88.3	9.77	3.45	True	3396693	0	385	385	14269	14269	8822	8822	67733	67733	46.9	2.1	88.83	3481	No	No	No	43	18
STP572.12604_R.bin.44	92.98	26.97	1.85	True	2471741	0	281	281	14166	14166	8796	8796	50320	50320	31.4	1.92	85.78	2391	No	No	No	43	20
STP572.12604_R.bin.45	89.57	0.62	18.18	True	4309428	0	610	610	9492	9492	7064	7064	49649	49649	52.8	2.26	90.18	4376	No	No	No	43	16
STP572.12604_R.bin.46	55.38	1.35	0.0	False	1669427	0	514	514	3424	3424	3247	3247	14419	14419	41.2	2.33	87.34	1815	Yes	Yes	Yes	7	3
STP572.12604_R.bin.47	45.59	0.0	0.0	True	918794	0	360	360	2551	2551	2552	2552	9571	9571	44.8	2.9	90.31	1053	No	No	No	12	9
STP572.12604_R.bin.48	91.22	0.0	0.0	True	3055580	0	89	89	71734	71734	34332	34332	211733	211733	46.6	2.0	93.27	2576	Yes	No	No	40	21
