Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
STP572.12604_R.bin.10	86.04	1.28	0.0	True	1923773	0	205	205	14579	14579	9384	9384	48274	48274	36.7	1.57	91.74	1988	No	No	No	30	19
STP572.12604_R.bin.100	87.23	0.81	0.0	True	2105809	0	37	37	80670	80670	56913	56913	258111	258111	45.8	1.37	91.31	1696	No	Yes	Yes	39	18
STP572.12604_R.bin.101	89.7	0.31	0.0	True	2344283	0	43	43	105716	105716	54518	54518	279621	279621	41.6	1.41	91.56	1992	Yes	No	No	39	19
STP572.12604_R.bin.102	97.85	0.0	0.0	True	1718962	0	25	25	127733	127733	68758	68758	257891	257891	37.3	0.68	90.46	1694	No	No	No	39	20
STP572.12604_R.bin.103	99.05	1.19	50.0	True	2388272	0	151	151	23330	23330	15816	15816	83957	83957	45.4	2.13	88.08	2089	No	No	No	35	19
STP572.12604_R.bin.106	89.58	2.85	60.0	True	2726676	0	363	363	11503	11503	7511	7511	57486	57486	45.8	3.06	91.73	2399	Yes	No	No	26	15
STP572.12604_R.bin.108	98.56	1.2	0.0	True	2232689	0	25	25	115303	115303	89307	89307	230319	230319	54.2	1.65	90.34	1877	No	No	Yes	38	21
STP572.12604_R.bin.109	92.39	0.0	0.0	True	2345059	0	147	147	25064	25064	15952	15952	82473	82473	39.6	1.64	90.53	2346	Yes	No	Yes	36	19
STP572.12604_R.bin.110	93.49	0.05	66.67	True	2213341	0	39	39	114665	114665	56752	56752	255856	255856	44.4	1.22	91.48	2059	No	No	No	26	13
STP572.12604_R.bin.112	93.4	0.0	0.0	True	1520234	0	34	34	89861	89861	44712	44712	176877	176877	27.9	1.39	91.41	1563	Yes	No	No	32	22
STP572.12604_R.bin.15	96.56	0.0	0.0	True	1597831	0	18	18	123881	123881	88768	88768	300557	300557	43.9	0.82	91.43	1383	Yes	Yes	Yes	46	22
STP572.12604_R.bin.16	65.78	0.67	100.0	True	1009424	0	19	19	99277	99277	53127	53127	203331	203331	34.8	1.13	88.51	920	Yes	Yes	No	44	22
STP572.12604_R.bin.18	84.67	5.23	37.84	True	5600454	0	725	725	11682	11682	7724	7724	62172	62172	43.4	2.21	90.4	4875	Yes	No	Yes	45	19
STP572.12604_R.bin.2	96.63	0.48	0.0	True	2708408	0	239	239	16788	16788	11332	11332	58907	58907	58.2	2.46	85.32	2133	Yes	No	No	29	16
STP572.12604_R.bin.20	95.27	2.7	20.0	True	2542657	0	49	49	94675	94675	51890	51890	256755	256755	46.6	1.29	91.81	2099	Yes	No	Yes	39	21
