Genome	Cluster	Representative
STP572.12604_R.bin.57	10	True
STP572.12604_R.bin.95	21	True
STP572.12604_R.bin.97	32	True
STP572.12604_R.bin.24	43	True
STP572.12604_R.bin.51	54	True
STP572.12604_R.bin.93	62	True
STP572.12604_R.bin.20	63	True
STP572.12604_R.bin.43	64	True
STP572.12604_R.bin.35	65	True
STP572.12604_R.bin.54	0	True
STP572.12604_R.bin.37	1	True
STP572.12604_R.bin.4	2	True
STP572.12604_R.bin.5	3	True
STP572.12604_R.bin.108	4	True
STP572.12604_R.bin.2	5	True
STP572.12604_R.bin.21	6	True
STP572.12604_R.bin.80	7	True
STP572.12604_R.bin.48	8	True
STP572.12604_R.bin.76	9	True
STP572.12604_R.bin.101	11	True
STP572.12604_R.bin.103	12	True
STP572.12604_R.bin.91	13	True
STP572.12604_R.bin.40	14	True
STP572.12604_R.bin.73	15	True
STP572.12604_R.bin.42	16	True
STP572.12604_R.bin.15	17	True
STP572.12604_R.bin.68	18	True
STP572.12604_R.bin.64	19	True
STP572.12604_R.bin.67	20	True
STP572.12604_R.bin.69	22	True
STP572.12604_R.bin.109	23	True
STP572.12604_R.bin.26	24	True
STP572.12604_R.bin.62	25	True
STP572.12604_R.bin.83	26	True
STP572.12604_R.bin.7	27	True
STP572.12604_R.bin.27	28	True
STP572.12604_R.bin.29	29	True
STP572.12604_R.bin.84	30	True
STP572.12604_R.bin.87	31	True
STP572.12604_R.bin.110	33	True
STP572.12604_R.bin.106	34	True
STP572.12604_R.bin.34	35	True
STP572.12604_R.bin.100	36	True
STP572.12604_R.bin.90	37	True
STP572.12604_R.bin.77	38	True
STP572.12604_R.bin.22	39	True
STP572.12604_R.bin.28	40	True
STP572.12604_R.bin.36	41	True
STP572.12604_R.bin.41	42	True
STP572.12604_R.bin.16	44	True
STP572.12604_R.bin.52	45	True
STP572.12604_R.bin.10	46	True
STP572.12604_R.bin.102	47	True
STP572.12604_R.bin.112	48	True
STP572.12604_R.bin.18	49	True
STP572.12604_R.bin.3	50	True
STP572.12604_R.bin.31	51	True
STP572.12604_R.bin.45	52	True
STP572.12604_R.bin.49	53	True
STP572.12604_R.bin.63	55	True
STP572.12604_R.bin.65	56	True
STP572.12604_R.bin.82	57	True
STP572.12604_R.bin.85	58	True
STP572.12604_R.bin.86	59	True
STP572.12604_R.bin.94	60	True
STP572.12604_R.bin.98	61	True
